Party,DebateNo,SentenceNo,SequenceNo,Speaker,Text,PolarityPAScore,Prob_Pos,NB_Sent,Score,wc
rep,1,22,5,BAIER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,23,5,BAIER,Texas Senator Ted Cruz.,0.0,0.5147561101828984,pos,2,0
rep,1,24,5,BAIER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,25,5,BAIER,Florida Senator Marco Rubio.,0.0,0.8789106145251391,pos,2,0
rep,1,26,5,BAIER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,27,6,WALLACE,Kentucky Senator Rand Paul.,0.0,0.8535373488117669,pos,2,0
rep,1,28,6,WALLACE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,29,6,WALLACE,New Jersey Governor Chris Christie.,0.13636363636363635,0.7004679865870678,pos,2,0
rep,1,30,6,WALLACE,(APPLAUSE) And your very own governor of Ohio...,0.78,0.9098939704170664,pos,5,0
rep,1,31,6,WALLACE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,32,6,WALLACE,... John Kasich.,0.0,0.5106157112526538,pos,2,0
rep,1,33,6,WALLACE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,34,7,WALLACE,"Brett -- Brett, I think you would call that a home field advantage.",0.0,0.9519107910555512,pos,2,0
rep,1,35,8,BAIER,It might be. It might be. We'll see.,0.0,0.4647177419354839,neg,2,0
rep,1,36,9,(UNKNOWN),Is this in the rules? An objection's coming.,0.0,0.3908227848101263,neg,2,0
rep,1,37,10,BAIER,"It might be. The rules for tonight are simple. One minute for answers, 30 seconds for follow-ups. And if a candidate runs over, you'll hear this.",0.0,0.2877001316837596,neg,3,0
rep,1,38,10,BAIER,"Pleasant, no?",0.7333333333333333,0.6702127659574468,pos,3,0
rep,1,39,10,BAIER,"We also have a big crowd here with us tonight in the home of the Cavaliers, as I mentioned.",0.0,0.4975278345967996,neg,3,0
rep,1,40,10,BAIER,And while we expect them...,0.0,0.5850654881014611,pos,3,0
rep,1,41,10,BAIER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,42,10,BAIER,"... we expect them to be enthusiastic, as you heard, we don't want to take anything away from the valuable time for the candidate. So, we're looking for somewhere between a reaction to a LeBron James dunk and the Cleveland Public Library across the street.",0.6,0.5979963830855284,pos,3,0
rep,1,43,10,BAIER,(LAUGHTER),0.0,0.375,neg,5,0
rep,1,44,10,BAIER,"Somewhere there, we'll find a balance tonight.",0.0,0.7301661290010916,pos,3,0
rep,1,45,10,BAIER,"Without further ado, let's begin.",0.0,0.17419788856221466,neg,3,0
rep,1,46,11,BAIER,"Gentlemen, we know how much you love hand-raising questions. So we promise, this is the only one tonight: the only one. Is there anyone on stage, and can I see hands, who is unwilling tonight to pledge your support to the eventual nominee of the Republican party and pledge to not run an independent campaign against that person.",0.0,0.9870983077781944,pos,2,0
rep,1,47,11,BAIER,"Again, we're looking for you to raise your hand now -- raise your hand now if you won't make that pledge tonight.",0.0,0.7371492651695326,pos,2,0
rep,1,48,11,BAIER,Mr. Trump.,0.0,0.375,neg,2,0
rep,1,49,11,BAIER,(BOOING),0.0,0.5,pos,2,0
rep,1,50,11,BAIER,"Mr. Trump to be clear, you're standing on a Republican primary debate stage.",0.25,0.8170981725125518,pos,2,0
rep,1,51,12,TRUMP,I fully understand.,0.0,0.727410594625097,pos,2,0
rep,1,52,13,BAIER,The place where the RNC will give the nominee the nod.,0.0,0.9049671370942232,pos,2,0
rep,1,53,14,TRUMP,I fully understand.,0.0,0.727410594625097,pos,2,0
rep,1,54,15,BAIER,And that experts say an independent run would almost certainly hand the race over to Democrats and likely another Clinton.,0.07142857142857142,0.949731038246144,pos,2,0
rep,1,55,15,BAIER,You can't say tonight that you can make that pledge?,0.0,0.637432835259714,pos,2,0
rep,1,56,16,TRUMP,"I cannot say. I have to respect the person that, if it's not me, the person that wins, if I do win, and I'm leading by quite a bit, that's what I want to do. I can totally make that pledge. If I'm the nominee, I will pledge I will not run as an independent. But -- and I am discussing it with everybody, but I'm, you know, talking about a lot of leverage. We want to win, and we will win. But I want to win as the Republican. I want to run as the Republican nominee.",0.55,0.7882606330834767,pos,2,0
rep,1,57,17,BAIER,"So tonight, you can't say if another one of these...",0.0,0.5601145512602754,pos,2,0
rep,1,58,18,PAUL,This is what's wrong!,-0.625,0.4358943888807841,neg,2,0
rep,1,59,19,BAIER,OK.,0.5,0.5,pos,2,0
rep,1,60,20,PAUL,"I mean, this is what's wrong. He buys and sells politicians of all stripes, he's already...",0.0,0.4080995491542631,neg,2,0
rep,1,61,21,BAIER,Dr. Paul.,0.0,0.44082840236686377,neg,2,0
rep,1,62,22,PAUL,"Hey, look, look! He's already hedging his bet on the Clintons, OK? So if he doesn't run as a Republican, maybe he supports Clinton, or maybe he runs as an independent...",0.0,0.8359180296466804,pos,2,0
rep,1,63,23,BAIER,OK.,0.5,0.5,pos,2,0
rep,1,64,24,PAUL,...but I'd say that he's already hedging his bets because he's used to buying politicians.,0.0,0.6160555256881429,pos,2,0
rep,1,65,25,TRUMP,"Well, I've given him plenty of money.",0.0,0.5743428434942063,pos,2,0
rep,1,66,26,BAIER,"Just to be clear, you can't make a -- we're gonna -- we're going to move on.",0.10000000000000002,0.8101200016544535,pos,2,0
rep,1,67,26,BAIER,You're not gonna make the pledge tonight?,0.0,0.886022958250509,pos,2,0
rep,1,68,27,TRUMP,I will not make the pledge at this time.,0.0,0.6562098438401022,pos,2,0
rep,1,69,28,BAIER,OK. Alright.,0.5,0.36666666666666653,neg,2,0
rep,1,70,28,BAIER,"(LAUGHTER, BOOING)",0.0,0.375,neg,5,0
rep,1,71,29,KELLY,"Gentlemen, our first round of questions is on the subject of electability in the general election, and we start tonight with you, Dr. Carson.",-0.016666666666666663,0.8999935323354781,pos,2,0
rep,1,72,29,KELLY,"You are a successful neurosurgeon, but you admit that you have had to study up on foreign policy, saying there's a lot to learn.",0.3125,0.9379863684354184,pos,2,0
rep,1,73,29,KELLY,"Your critics say that your inexperience shows. You've suggested that the Baltic States are not a part of NATO, just months ago you were unfamiliar with the major political parties and government in Israel, and domestically, you thought Alan Greenspan had been treasury secretary instead of federal reserve chair.",0.03125,0.9755753387863338,pos,2,0
rep,1,74,29,KELLY,"Aren't these basic mistakes, and don't they raise legitimate questions about whether you are ready to be president?",0.1,0.8725345261413708,pos,2,0
rep,1,75,30,CARSON,"Well, I could take issue with -- with all of those things, but we don't have time.",0.0,0.5821986466598378,pos,2,0
rep,1,76,30,CARSON,"But I will say, we have a debate here tonight, and we will have an opportunity to explore those areas, and I'm looking very much forward to demonstrating that, in fact, the thing that is probably most important is having a brain, and to be able to figure things out and learn things very rapidly.",0.37200000000000005,0.9103959400912354,pos,2,0
rep,1,77,30,CARSON,"So, you know, experience comes from a large number of different arenas, and America became a great nation early on not because it was flooded with politicians, but because it was flooded with people who understood the value of personal responsibility, hard work, creativity, innovation, and that's what will get us on the right track now, as well.",0.15833333333333335,0.9828644129440812,pos,2,0
rep,1,78,31,WALLACE,"Senator Rubio, when Jeb Bush announced his candidacy for presidency, he said this: ""There's no passing off responsibility when you're a governor, no blending into the legislative crowd.""",0.0,0.9447038841668371,pos,2,0
rep,1,79,31,WALLACE,"Could you please address Governor Bush across the stage here, and explain to him why you, someone who has never held executive office, are better prepared to be president than he is, a man who you say did a great job running your state of Florida for eight years.",0.65,0.975571424174744,pos,2,0
rep,1,80,32,RUBIO,"Well, thank you for the question, Chris, and it's great to be here tonight. Let me begin by saying this: I'm not new to the political process; I was making a contribution as the speaker of the third largest and most diverse state in the country well before I even got into the Senate.",0.10795454545454546,0.9962900374251752,pos,2,0
rep,1,81,32,RUBIO,"I would add to that that this election cannot be a resume competition. It's important to be qualified, but if this election is a resume competition, then Hillary Clinton's gonna be the next president, because she's been in office and in government longer than anybody else running here tonight.",0.2,0.9383856156716078,pos,2,0
rep,1,82,32,RUBIO,"Here's what this election better be about This election better be about the future, not the past. It better be about the issues our nation and the world is facing today, not simply the issues we once faced.",0.25,0.95399643148637,pos,2,0
rep,1,83,32,RUBIO,"This country is facing an economy that has been radically transformed. You know, the largest retailer in the country and the world today, Amazon, doesn't even own a single store? And these changes have been disruptive. They have changed people's lives. The jobs that once sustained our middle class, they either don't pay enough or they are gone, and we need someone that understands that as our nominee.",0.0,0.7723766543870637,pos,2,0
rep,1,84,32,RUBIO,"If I'm our nominee, how is Hillary Clinton gonna lecture me about living paycheck to paycheck? I was raised paycheck to paycheck. How is she -- how is she gonna lecture me -- how is she gonna lecture me about student loans? I owed over $100,000 just four years ago.",0.0,0.5575275122505667,pos,2,0
rep,1,85,32,RUBIO,"If I'm our nominee, we will be the party of the future.",0.0,0.9014167044307784,pos,2,0
rep,1,86,32,RUBIO,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,87,33,BAIER,"Governor Bush, you have insisted that you're your own man. You say you have a life experience uniquely your own. Not your father's, not your brother's.",0.6,0.9671018447775288,pos,2,0
rep,1,88,33,BAIER,"But there are several opponents on this stage who get big- applause lines in early voting states with this line quote, ""the last thing the country needs is another Bush in the Oval Office.""",0.025,0.9441624301256679,pos,5,0
rep,1,89,33,BAIER,So do you understand the real concern in this country about dynastic politics?,0.2,0.7912608496614275,pos,2,0
rep,1,90,34,BUSH,"Absolutely, I do, and I'm gonna run hard, run with heart, and run to win.",0.23611111111111116,0.8829708672482067,pos,2,0
rep,1,91,34,BUSH,I'm gonna have to earn this. Maybe the barrier -- the bar's even higher for me. That's fine.,0.25,0.17556043060957974,neg,2,0
rep,1,92,34,BUSH,"I've got a record in Florida. I'm proud of my dad, and I'm certainly proud of my brother. In Florida, they called me Jeb, because I earned it.",0.8,0.577552845751594,pos,2,0
rep,1,93,34,BUSH,"I cut taxes every year, totaling $19 billion. We were -- we had -- we balanced every budget. We went from $1 billion of reserves to $9 billion of reserves.",0.0,0.5173281099450447,pos,2,0
rep,1,94,34,BUSH,We were one of two states that went to AAA bond rating.,0.0,0.23108076508645814,neg,2,0
rep,1,95,35,BUSH,"They keep -- they called me Veto Corleone. Because I vetoed 2,500 separate line-items in the budget.",0.0,0.5346450916521326,pos,2,0
rep,1,96,35,BUSH,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,97,35,BUSH,"I am my own man. I governed as a conservative, and I govern effectively. And the net effect was, during my eight years, 1.3 million jobs were created. We left the state better off because I applied conservative principles in a purple state the right way, and people rose up.",0.3464285714285714,0.9807780287498902,pos,2,0
rep,1,98,35,BUSH,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,99,36,KELLY,"Mr. Trump, one of the things people love about you is you speak your mind and you don't use a politician's filter. However, that is not without its downsides, in particular, when it comes to women.",0.5,0.8042101329799659,pos,2,0
rep,1,100,36,KELLY,"You've called women you don't like ""fat pigs, dogs, slobs, and disgusting animals.""",-1.0,0.119881965285284,neg,2,0
rep,1,101,36,KELLY,(LAUGHTER),0.0,0.375,neg,5,0
rep,1,102,36,KELLY,Your Twitter account...,0.0,0.6311407847016155,pos,2,0
rep,1,103,37,TRUMP,Only Rosie O'Donnell.,0.0,0.4721374045801525,neg,2,0
rep,1,104,37,TRUMP,(LAUGHTER),0.0,0.375,neg,5,0
rep,1,105,38,KELLY,"No, it wasn't.",0.0,0.491315965263861,neg,2,0
rep,1,106,38,KELLY,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,107,38,KELLY,Your Twitter account...,0.0,0.6311407847016155,pos,2,0
rep,1,108,38,KELLY,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,109,39,TRUMP,Thank you.,0.0,0.5060896287777378,pos,2,0
rep,1,110,40,KELLY,"For the record, it was well beyond Rosie O'Donnell.",0.0,0.5768477054066651,pos,2,0
rep,1,111,41,TRUMP,"Yes, I'm sure it was.",0.5,0.4334194006909299,neg,2,0
rep,1,112,42,KELLY,"Your Twitter account has several disparaging comments about women's looks. You once told a contestant on Celebrity Apprentice it would be a pretty picture to see her on her knees. Does that sound to you like the temperament of a man we should elect as president, and how will you answer the charge from Hillary Clinton, who was likely to be the Democratic nominee, that you are part of the war on women?",0.4000000000000001,0.9756467467177008,pos,2,0
rep,1,113,43,TRUMP,I think the big problem this country has is being politically correct.,0.0,0.718042681984635,pos,2,0
rep,1,114,43,TRUMP,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,115,43,TRUMP,"I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either. This country is in big trouble. We don't win anymore. We lose to China. We lose to Mexico both in trade and at the border. We lose to everybody.",0.16666666666666666,0.6602266043074626,pos,2,0
rep,1,116,43,TRUMP,"And frankly, what I say, and oftentimes it's fun, it's kidding. We have a good time. What I say is what I say. And honestly Megyn, if you don't like it, I'm sorry. I've been very nice to you, although I could probably maybe not be, based on the way you have treated me. But I wouldn't do that.",0.78,0.604527077568673,pos,2,0
rep,1,117,43,TRUMP,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,118,43,TRUMP,"But you know what, we -- we need strength, we need energy, we need quickness and we need brain in this country to turn it around. That, I can tell you right now.",0.0,0.6371457005804959,pos,2,0
rep,1,119,44,WALLACE,"Senator Cruz, your colleague, Senator Paul, right there next to you, said a few months ago he agrees with you on a number of issues, but he says you do nothing to grow the party. He says you feed red meat to the base, but you don't reach out to minorities. You have a toxic relationship with GOP leaders in Congress. You even called the Republican Senate Leader Mitch McConnell a liar recently.",0.028571428571428564,0.875836293561565,pos,2,0
rep,1,120,44,WALLACE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,121,44,WALLACE,How can you win in 2016 when you're such a divisive figure?,0.4,0.4574008727905281,neg,2,0
rep,1,122,45,CRUZ,"Chris, I believe the American people are looking for someone to speak the truth.",0.0,0.7094684468287296,pos,2,0
rep,1,123,45,CRUZ,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,124,45,CRUZ,"If you're looking for someone to go to Washington, to go along to get along, to get -- to agree with the career politicians in both parties who get in bed with the lobbyists and special interests, then I ain't your guy.",0.35714285714285715,0.9441458104114836,pos,2,0
rep,1,125,45,CRUZ,There is a reason...,0.0,0.3637220549320194,neg,2,0
rep,1,126,45,CRUZ,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,127,45,CRUZ,".... that we have $18 trillion in debt. Because as conservatives, as Republicans, we keep winning elections. We got a Republican House, we've got a Republican Senate, and we don't have leaders who honor their commitments. I will always tell the truth and do what I said I would do.",0.0,0.9420574864075656,pos,2,0
rep,1,128,45,CRUZ,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,129,46,BAIER,"Governor Christie, you're not exactly the darling of conservatives. You tout your record as a Republican governor in a blue state. On Facebook, the most people talking about you, not surprisingly, come from your state of New Jersey, and one of the top issues they are talking about is the economy.",0.1965909090909091,0.6785008431871172,pos,2,0
rep,1,130,46,BAIER,"This -- this may be why. Under your watch, New Jersey has undergone nine credit rating downgrades. The state's 44th in private sector growth. You face an employee pension crisis and the Garden State has the third highest foreclosure rate in the country. So why should voters believe that your management of the country's finances would be any different?",0.0,0.7051943157258582,pos,2,0
rep,1,131,47,CHRISTIE,"If you think it's bad now, you should've seen it when I got there.",-0.6999999999999998,0.2101606411629157,neg,2,0
rep,1,132,47,CHRISTIE,(LAUGHTER),0.0,0.375,neg,5,0
rep,1,133,47,CHRISTIE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,134,47,CHRISTIE,"The fact is -- the fact is, in the eight years before I became governor, taxes and fees were raised at the state level 115 times. In the eight years before I became governor, spending was increased 56 percent. And in the eight years before I become governor, taxes and fees were raised at the state level 115 times.",0.0,0.9817330429467316,pos,2,0
rep,1,135,47,CHRISTIE,"In the eight years before I became Governor, spending was increased 56 percent, and in the eight years before I became governor, there was zero net private sector job growth in New Jersey. Zero. For eight years.",0.04545454545454545,0.8434102079487737,pos,2,0
rep,1,136,47,CHRISTIE,"So, what did we do? We came in, we balanced an $11 billion deficit on a $29 billion budget by cutting over 800 programs in the state budget. We brought the budget into balance with no tax increases. In fact, we vetoed five income tax increases during my time as governor. We cut business taxes $2.3 billion, and we cut regulation by one-third of what my predecessor put in place.",-0.6,0.7202172130700454,pos,2,0
rep,1,137,47,CHRISTIE,"And, what's happened since? A hundred ninety-two thousand private sector jobs in the five and a half years I've been governor. We have a lot of work to do in New Jersey, but I am darn proud we've brought our state back.",-0.08333333333333333,0.8099517515924354,pos,2,0
rep,1,138,47,CHRISTIE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,139,48,KELLY,"Governor Walker, you've consistently said that you want to make abortion illegal even in cases of rape, incest, or to save the life of the mother. You recently signed an abortion law in Wisconsin that does have an exception for the mother's life, but you're on the record as having objected to it. Would you really let a mother die rather than have an abortion, and with 83 percent of the American public in favor of a life exception, are you too out of the mainstream on this issue to win the general election?",0.21,0.8939081136897532,pos,2,0
rep,1,140,49,WALKER,"Well, I'm pro-life, I've always been pro-life, and I've got a position that I think is consistent with many Americans out there in that...",0.375,0.7334585181299362,pos,2,0
rep,1,141,49,WALKER,(APPLAUSE) ,0.0,0.7222222222222221,pos,5,0
rep,1,142,50,WALKER,"...in that I believe that that is an unborn child that's in need of protection out there, and I've said many a time that that unborn child can be protected, and there are many other alternatives that can also protect the life of that mother. That's been consistently proven.",0.2916666666666667,0.6603836171400866,pos,2,0
rep,1,143,50,WALKER,"Unlike Hillary Clinton, who has a radical position in terms of support for Planned Parenthood, I defunded Planned Parenthood more than four years ago, long before any of these videos came out...",0.225,0.9375535143745066,pos,2,0
rep,1,144,50,WALKER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,145,51,WALKER,...I've got a position that's in line with everyday America.,-0.2,0.8892796514707162,pos,2,0
rep,1,146,51,WALKER,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,147,52,WALLACE,"Governor Huckabee, like Governor Walker, you have staked out strong positions on social issues. You favor a constitutional amendment banning same sex marriage. You favor a constitutional amendment banning abortions, except for the life of the mother. Millions of people in this country agree with you, but according to the polls, and again this an electability question, according to the polls, more people don't, so how do you persuade enough Independents and Democrats to get elected in 2016?",0.25,0.9964986392602312,pos,2,0
rep,1,148,53,HUCKABEE,"Chris, I disagree with the idea that the real issue is a constitutional amendment. That's a long and difficult process. I've actually taken the position that's bolder than that.",0.2,0.6755642393177408,pos,2,0
rep,1,149,53,HUCKABEE,"A lot of people are talking about defunding planned parenthood, as if that's a huge game changer. I think it's time to do something even more bold. I think the next president ought to invoke the Fifth, and Fourteenth Amendments to the constitution now that we clearly know that that baby inside the mother's womb is a person at the moment of conception.",0.05000000000000001,0.8291881083975224,pos,2,0
rep,1,150,53,HUCKABEE,"The reason we know that it is is because of the DNA schedule that we now have clear scientific evidence on. And, this notion that we just continue to ignore the personhood of the individual is a violation of that unborn child's Fifth and 14th Amendment rights for due process and equal protection under the law.",-0.04166666666666666,0.9500660093372534,pos,2,0
rep,1,151,53,HUCKABEE,"It's time that we recognize the Supreme Court is not the supreme being, and we change the policy to be pro-life and protect children instead of rip up their body parts and sell them like they're parts to a Buick.",0.0,0.9871220745039836,pos,2,0
rep,1,152,53,HUCKABEE,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,153,54,BAIER,"Senator Paul, you recently blamed the rise of ISIS on Republican hawks. You later said that that statement, you could have said it better. But, the statement went on, and you said, quote, ""Everything they've talked about in foreign policy, they've been wrong for the last 20 years.""",-0.20833333333333331,0.8062207964438288,pos,2,0
rep,1,154,54,BAIER,Why are you so quick to blame your own party?,0.4666666666666667,0.2516210734258579,neg,2,0
rep,1,155,55,PAUL,"First of all, only ISIS is responsible for the terrorism. Only ISIS is responsible for the depravity. But, we do have to examine, how are we going to defeat ISIS?",0.0,0.8926431863414575,pos,2,0
rep,1,156,55,PAUL,I've got a proposal. I'm the leading voice in America for not arming the allies of ISIS.,0.0,0.9895789733376048,pos,2,0
rep,1,157,55,PAUL,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,158,56,PAUL,"I've been fighting amidst a lot of opposition from both Hillary Clinton, as well as some Republicans who wanted to send arms to the allies of ISIS. ISIS rides around in a billion dollars worth of U.S. Humvees. It's a disgrace. We've got to stop -- we shouldn't fund our enemies, for goodness sakes.",0.0,0.9946703053639836,pos,2,0
rep,1,159,57,PAUL,"So, we didn't create ISIS -- ISIS created themselves, but we will stop them, and one of the ways we stop them is by not funding them, and not arming them.",0.0,0.9875200139716488,pos,2,0
rep,1,160,57,PAUL,(APPLAUSE),0.0,0.7222222222222221,pos,5,0
rep,1,161,58,KELLY,"Governor Kasich, You chose to expand Medicaid in your state, unlike several other governors on this stage tonight, and it is already over budget by some estimates costing taxpayers an additional $1.4 billion in just the first 18 months. You defended your Medicaid expansion by invoking God, saying to skeptics that when they arrive in heaven, Saint Peter isn't going to ask them how small they've kept government, but what they have done for the poor. Why should Republican voters, who generally want to shrink government, believe that you won't use your Saint Peter rationale to expand every government program? KASICH: Well, first of all... (APPLAUSE) KASICH: -- first of all, Megyn, you should know that -- that President Reagan expanded Medicaid three or four times. Secondly, I had an opportunity to bring resources back to Ohio to do what? To treat the mentally ill. Ten thousand of them sit in our prisons. It costs $22,500 a year... (APPLAUSE) KASICH: -- to keep them in prison. I'd rather get them their medication so they could lead a decent life. Secondly, we are rehabbing the drug-addicted. Eighty percent of the people in our prisons have addictions or problems. We now treat them in the prisons, release them in the community and the recidivism rate is 10 percent and everybody across this country knows that the tsunami of drugs is -- is threatening their very families.",0.04166666666666666,0.9605552984558576,pos,5,0
rep,1,162,58,KELLY,"So we're treating them and getting them on their feet. And, finally, the working poor, instead of them having come into the emergency rooms where it costs more, where they're sicker and we end up paying, we brought a program in here to make sure that people could get on their feet. And do you know what? Everybody has a right to their God-given purpose. And finally, our Medicaid is growing at one of the lowest rates in the country. And, finally, we went from $8 billion in the hole to $2 billion in the black. We've cut $5 billion in taxes... ",0.15,0.281021993628479,neg,2,0
rep,1,163,58,KELLY,(BUZZER NOISE) ,0.0,0.5,pos,2,0
rep,1,164,59,KASICH,"-- and we've grown 350,000 jobs. ",0.0,0.6331634278432621,pos,2,0
rep,1,165,59,KASICH,(APPLAUSE) ,0.0,0.7222222222222221,pos,5,0
rep,1,166,60,WALLACE,"Gentlemen, we're turning to a new subject that all of you have been talking about and some of you have been disagreeing about, and that is the issue of immigration. Governor Bush, you released a new plan this week on illegal immigration focusing on enforcement, which some suggest is your effort to show that you're not soft on that issue. I want to ask you about a statement that you made last year about illegal immigrants. And here's what you said. ""They broke the law, but it's not a felony, it's an act of love. It's an act of commitment to your family."" Do you stand by that statement and do you stand by your support for earned legal status? BUSH: I do. I believe that the great majority of people coming here illegally have no other option. They want to provide for their family. But we need to control our border. It's not -- it's our responsibility to pick and choose who comes in. So I -- I've written a book about this and yet this week, I did come up with a comprehensive strategy that -- that really mirrored what we said in the book, which is that we need to deal with E-Verify, we need to deal with people that come with a legal visa and overstay. We need to be much more strategic on how we deal with border enforcement, border security. We need to eliminate the sanctuary cities in this country. It is ridiculous and tragic... (APPLAUSE) BUSH: -- that people are dying because of the fact that -- that local governments are not following the federal law. There's much to do. And I think rather than talking about this as a wedge issue, which Barack Obama has done now for six long years, the next president -- and I hope to be that president -- will fix this once and for all so that we can turn this into a driver for high sustained economic growth. And there should be a path to earned legal status... (BUZZER NOISE) BUSH: -- for those that are here. Not -- not amnesty, earned legal status, which means you pay a fine and do many things over an extended period of time. ",0.0775,0.9348810635769615,pos,5,0
rep,1,167,61,WALLACE,"Thank you, sir. ",0.0,0.6772226648627278,pos,2,0
rep,1,168,61,WALLACE,(APPLAUSE) ,0.0,0.7222222222222221,pos,5,0
rep,1,169,62,WALLACE,"Mr. Trump, it has not escaped anybody's notice that you say that the Mexican government, the Mexican government is sending criminals -- rapists, drug dealers, across the border. Governor Bush has called those remarks, quote, ""extraordinarily ugly."" I'd like you -- you're right next to him -- tell us -- talk to him directly and say how you respond to that and -- and you have repeatedly said that you have evidence that the Mexican government is doing this, but you have evidence you have refused or declined to share. Why not use this first Republican presidential debate to share your proof with the American people? TRUMP: So, if it weren't for me, you wouldn't even be talking about illegal immigration, Chris. You wouldn't even be talking about it. (APPLAUSE) TRUMP: This was not a subject that was on anybody's mind until I brought it up at my announcement. And I said, Mexico is sending. Except the reporters, because they're a very dishonest lot, generally speaking, in the world of politics, they didn't cover my statement the way I said it. The fact is, since then, many killings,murders, crime, drugs pouring across the border, are money going out and the drugs coming in. And I said we need to build a wall, and it has to be built quickly.",0.09642857142857142,0.22501492839573495,neg,5,0
rep,1,170,62,WALLACE,"And I don't mind having a big beautiful door in that wall so that people can come into this country legally. But we need, Jeb, to build a wall, we need to keep illegals out.",0.35000000000000003,0.9605568025744359,pos,2,0
rep,1,171,62,WALLACE,(CHEERING AND APPLAUSE),0.0,0.8033707865168543,pos,5,0
