,SentenceNo,SequenceNo,Speaker,Text,Score,wc
85,85,50,CARSON,"Remember, we have 645 federal agencies and sub-agencies. Anybody who tells me that we need every penny and every one of those is in a fantasy world.",3,27
86,86,50,CARSON,"So, also, we can stimulate the economy. That's gonna be the real growth engine. Stimulating the economy -- because it's tethered down right now with so many regulations...",1,28
88,88,52,CARSON,That's not true.,2,3
90,90,54,CARSON,"When -- when we put all the facts down, you'll be able to see that it's not true, it works out very well.",3,23
92,92,56,KASICH,"Listen, I want to just comment.",1,6
94,94,58,KASICH,Well I want to comment on this. This is the fantasy...,1,11
96,96,60,KASICH,This is the fantasy that I talked about in the beginning.,1,11
99,99,62,KASICH,I'm the only person on this stage that actually was involved in the chief architect of balancing the Federal Budget.,1,20
100,100,62,KASICH,"You can't do it with empty promised. You know, these plans would put us trillions and trillions of dollars in debt.",1,21
101,101,62,KASICH,"I actually have a plan. I'm the only one on this stage that has a plan that would create jobs, cut taxes, balance the budget and can get it done because I'm realistic. You just don't make promises like this.",1,40
102,102,62,KASICH,"Why don't we just give a chicken in every pot, while we're, you know, coming up -- coming up with these fantasy tax schemes. We'll just clean it up. Where are you gonna clean it up?",1,36
103,103,62,KASICH,"You have to deal with entitlements, you have to be in a position to control discretionary spending. You gotta be creative and imaginative.",1,23
104,104,62,KASICH,"Now, let me just be clear, John. I went into Ohio where we had an $8 billion hole and now we have a $2 billion surplus. We're up 347,000 jobs.",1,30
105,105,62,KASICH,"When I was in Washington, I fought to get the budget balanced. I was the architect. It was the first time we did it since man walked on the moon. We cut taxes and we had a $5 trillion projected surplus when I left.",1,44
106,106,62,KASICH,"That's was hard work. Fiscal discipline, know what you're doing. Creativity.",1,11
107,107,62,KASICH,"This stuff is fantasy. Just like getting rid of Medicare and Medicaid. Come on, that's just not -- you scare senior citizens with that. It's not responsible.",1,27
110,110,64,KASICH,"Well, I mean right here. To talk about we're just gonna have a 10 percent tithe and that's how we're gonna fund the government? And we're going to just fix everything with waste, fraud, and abuse? Or that we're just going to be great? Or we're going to ship 10 million Americans -- or 10 million people out of this country, leaving their children here in this country and dividing families?",2,71
111,111,64,KASICH,"Folks, we've got to wake up. We cannot elect somebody that doesn't know how to do the job. You have got to pick somebody who has experience, somebody that has the know-how, the discipline.",3,34
112,112,64,KASICH,"And I spent my entire lifetime balancing federal budgets, growing jobs, the same in Ohio. And I will go back to Washington with my plan.",1,25
114,114,66,KASICH,"And I will have done it within 100 days, and it will pass. And we will be strong again. Thank you.",3,21
116,116,68,TRUMP,"First of all, John got lucky with a thing called fracking, OK? He hit oil. He got lucky with fracking. Believe me, that is why Ohio is doing well. Number -- and that is important for you to know.",2,39
117,117,68,TRUMP,"Number two, this was the man that was a managing general partner at Lehman Brothers when it went down the tubes and almost took every one of us with it, including Ben and myself, because I was there and I watched what happened.",1,43
118,118,68,TRUMP,And Lehman Brothers started it all. He was on the board. And he was a managing general partner.,3,18
119,119,68,TRUMP,"And just thirdly, he was so nice. He was such a nice guy. And he said, oh, I'm never going to attack. But then his poll numbers tanked. He has got -- that is why he is on the end.",1,40
120,120,68,TRUMP,(LAUGHTER) And he got nasty. And he got nasty. So you know what? You can have him.,5,17
121,121,68,TRUMP,(CROSSTALK),2,1
122,122,69,KASICH,"Let me just -- let me respond. First of all, Ohio does have an energy industry, but we're diversified. We're one of the fastest growing states in the country. We came back from the dead. And you know what? It works very, very well.",2,44
123,123,69,KASICH,"And secondly, when you talk about me being on the board of Lehman Brothers, I wasn't on the board of Lehman Brothers. I was a banker and I was proud of it. And I traveled the country and learned how people made jobs.",1,43
124,124,69,KASICH,"We ought to have politicians who not only have government experience but know how the CEOs and the job creators work. My state is doing great across the board. And guess what, in 2011, I got a deal...",1,38
126,126,71,KASICH,... an agreement with the...,2,5
127,127,71,KASICH,(CROSSTALK),2,1
128,128,72,KASICH,... that he tried to take credit for four years later. It's a joke.,2,14
132,132,75,CARSON,Since I was attacked too.,2,5
134,134,77,CARSON,"Let me just say, if you're talking about an $18 trillion economy, you're talking about a 15 percent tax on your gross domestic product. You're talking about $2.7 trillion. We have a budget closer to $3.5 trillion.",1,37
135,135,77,CARSON,"But if you also apply that same 15 percent to several other things, including corporate taxes, and including the capital gains taxes, you make that amount up pretty quickly. So that is not by any stretch a pie in the sky.",1,41
136,136,78,CRUZ,"Becky, if you want a 10 percent flat tax where the numbers add up, I rolled out my tax plan today, you can find it on line at tedcruz.org. It is a simple flat tax where for individuals, a family of four pays nothing on the first $36,000.",1,48
137,137,78,CRUZ,"After that you pay 10 percent as a flat tax going up. The billionaire and the working man, no hedge fund manager pays less than his secretary.",3,27
138,138,78,CRUZ,"On top of that, there is a business flat tax of 16 percent. Now that applies universally to giant corporations that with lobbyists right now are not paying taxes, and as small business.",1,33
139,139,78,CRUZ,"And you wanted to know the numbers, the Tax Foundation, which has scored every one of our plans, shows that this plan will allow the economy to generate 4.9 million jobs, to raise wages over 12 percent, and to generate 14 percent growth.",1,43
140,140,78,CRUZ,"And it costs, with dynamic scoring, less than a trillion dollars. Those are the hard numbers. And every single income decile sees a double-digit increase in after-tax income.",1,28
142,142,80,CRUZ,"Growth is the answer. And as Reagan demonstrated, if we cut taxes, we can bring back growth.",1,17
147,147,83,FIORINA,"Let me just say on taxes, how long have we been talking about tax reform in Washington, D.C.? We have been talking about it for decades. We now have a 73,000-page tax code.",1,33
148,148,83,FIORINA,"There have been more than 4,000 changes to the tax plan since 2001 alone. There are loads of great ideas, great conservative ideas from wonderful think tanks about how to reform the tax code.",3,34
149,149,83,FIORINA,"The problem is we never get it done. We have talked about tax reform in every single election for decades. It never happens. And the politicians always say it is so complicated, nobody but a politician can figure it out.",1,40
150,150,83,FIORINA,"The truth is this, the big problem, we need a leader in Washington who understands how to get something done, not to talk about it, not to propose it, to get it done.",1,33
152,152,85,FIORINA,"That's right, three pages.",3,4
154,154,87,FIORINA,You know why three?,2,4
156,156,89,FIORINA,"No. You know why three? Because only if it's about three pages are you leveling the playing field between the big, the powerful, the wealthy and the well-connected who can hire the armies of lawyers and accountants and, yes, lobbyists to help them navigate their way through 73,000 pages.",1,49
157,157,89,FIORINA,Three pages is about the maximum that a single business owner or a farmer or just a couple can understand without hiring somebody. Almost 60 percent of American people now need to hire an expert to understand their taxes.,1,39
158,158,89,FIORINA,"So yes, you're going to hear a lot of talk about tax reform --",2,14
160,160,91,FIORINA,-- the issue is who is going to get it done.,1,11
161,161,91,FIORINA,(CROSSTALK),2,1
165,165,95,RUBIO,That's an interesting question. That's exactly what the Republican establishment says too. Why don't you wait in line? Wait for what? This country is running out of time. We can't afford to have another four years like the last eight years.,1,41
166,166,95,RUBIO,"Watching this broadcast tonight are millions of people that are living paycheck to paycheck. They're working as hard as they ever have, everything costs more, and they haven't had a raise in decades.",1,33
167,167,95,RUBIO,"You have small businesses in America that are struggling. For the first time in 35 years, we have more businesses closing than starting. We have a world that's out of control and has grown dangerous and a president that is weakening our military and making our foreign policy unstable and unreliable in the eyes of our allies. And our adversaries continue to grow stronger.",1,64
168,168,95,RUBIO,We have a -- they say there's no bipartisanship in Washington? We have a $19 trillion bipartisan debt and it continues to grow as we borrow money from countries that do not like us to pay for government we cannot afford.,1,41
169,169,95,RUBIO,"The time to act is now. The time to turn the page is now. If we -- if we don't act now, we are going to be the first generation in American history that leaves our children worse off than ourselves.",1,41
171,171,97,RUBIO,"Let me say, I read that editorial today with a great amusement. It's actually evidence of the bias that exists in the American media today.",3,25
173,173,99,RUBIO,"Let me -- let me answer your question on the Sun-Sentinel editorial today. Back in 2004, one of my predecessors to the Senate by the name of Bob Graham, a Democrat, ran for president missing over 30 percent of his votes. I don't recall them calling for his resignation --",1,50
175,175,101,RUBIO,"Later that year, in 2004, John Kerry ran for president missing close to 60 to 70 percent of his votes. I don't recall the Sun -- in fact, the Sun-Sentinel endorsed him. In 2008, Barack Obama missed 60 or 70 percent of his votes, and the same newspaper endorsed him again. So this is another example of the double standard that exists in this country between the mainstream media and the conservative movement.",3,73
176,176,101,RUBIO,(APPLAUSE),5,1
178,178,103,BUSH,"Could I -- could I bring something up here, because I'm a constituent of the senator and I helped him and I expected that he would do constituent service, which means that he shows up to work. He got endorsed by the Sun-Sentinel because he was the most talented guy in the field. He's a gifted politician.",3,57
179,179,103,BUSH,"But Marco, when you signed up for this, this was a six-year term, and you should be showing up to work. I mean, literally, the Senate -- what is it, like a French work week? You get, like, three days where you have to show up? You can campaign, or just resign and let someone else take the job. There are a lot of people living paycheck to paycheck in Florida as well, they're looking for a senator that will fight for them each and every day.",1,87
180,180,104,RUBIO,"I get to respond, right?",2,5
182,182,106,RUBIO,"Well, it's interesting. Over the last few weeks, I've listened to Jeb as he walked around the country and said that you're modeling your campaign after John McCain, that you're going to launch a furious comeback the way he did, by fighting hard in New Hampshire and places like that, carrying your own bag at the airport. You know how many votes John McCain missed when he was carrying out that furious comeback that you're now modeling after?",1,78
183,183,107,BUSH,He wasn't my senator.,1,4
184,184,108,RUBIO,"No Jeb, I don't remember -- well, let me tell you. I don't remember you ever complaining about John McCain's vote record. The only reason why you're doing it now is because we're running for the same position, and someone has convinced you that attacking me is going to help you.",1,51
185,185,109,BUSH,"Well, I've been --",2,4
186,186,110,RUBIO,Here's the bottom line.,2,4
187,187,110,RUBIO,(APPLAUSE),5,1
188,188,110,RUBIO,"I'm not -- my campaign is going to be about the future of America, it's not going to be about attacking anyone else on this stage. I will continue to have tremendous admiration and respect for Governor Bush. I'm not running against Governor Bush, I'm not running against anyone on this stage. I'm running for president because there is no way we can elect Hillary Clinton to continue the policies of Barack Obama.",1,73
190,190,112,TRUMP,I think you're --,2,4
191,191,112,TRUMP,(APPLAUSE),5,1
192,192,112,TRUMP,(CROSSTALK),2,1
195,195,114,KASICH,"John Harwood, there's a bigger issue here.",3,7
200,200,118,BUSH,"No, no. What I said was I don't believe that I would be president of the United States and have the same dysfunction that exists in Washington, D.C. now.",1,29
202,202,120,BUSH,"Don't vote for me if you want to keep the gridlock in Washington, D.C.",2,14
204,204,122,BUSH,"But if you want someone who has a proven, effective leadership, that was a governor of a state, that transformed the culture there, elect me so I can fight for the American people and change the culture in Washington, D.C.",1,40
207,207,124,BUSH,"(inaudible), the great majority of Republicans and Americans believe in a hopeful future. They don't believe in building walls and a pessimistic view of the future.",3,26
208,208,124,BUSH,They're concerned that Washington is so dysfunctional it is holding them back. There are lids on people's aspirations. Think about it six and a half million people working part-time. Workforce participation rates lower than they were in 1977.,1,38
209,209,124,BUSH,"Six million more people living in poverty than the day that Barack Obama got elected president, and the left just wants more of the same. We have to offer a compelling alternative that is based on hope and optimism and grounded in serious policy, which I've laid out.",1,48
210,210,124,BUSH,And you can go get it at jeb2016.com.,3,8
218,218,128,FIORINA,"You know, the NASDAQ dropped 80 percent -- 80 percent -- and it took 15 years for the NASDAQ to recover. I was recruited to H.P. to save a company.",1,30
219,219,128,FIORINA,"It was a company that had grown into a bloated, inept bureaucracy that cost too much and delivered too little to customers and shareholders. It had missed, before I had arrived, expectations for nine quarters in a row.",1,38
220,220,128,FIORINA,"As an outsider, I tackled H.P.'s entrenched problems head-on. I cut the bureaucracy down to size, re-introduced accountability, focused on service, on innovation, on leading in every market, in every product segment.",1,32
221,221,128,FIORINA,"And yes, it was a very difficult time. However, we saved 80,000 jobs and we went on to grow to 160,000 jobs, and scores of technology companies literally went out of business -- like Gateway -- taking all their jobs with them.",2,42
222,222,128,FIORINA,"The truth is I had to make some tough calls in some tough times. I think, actually, people are looking for that in Washington now. And yes, I was fired over a disagreement in the boardroom. There are politics in the boardroom as well.",2,44
223,223,128,FIORINA,"And yet the man who led my firing, Tom Perkins, an icon of Silicon Valley, has come out publicly and said, ""you know what? We were wrong. She was right. She was a great CEO. She'd be a great president of the United States because the leadership she brought to H.P. is exactly the leadership we need in Washington, D.C.",3,60
227,227,130,FIORINA,"Well, this is one of the reasons why Tom Perkins and I had disagreements in the boardroom, Becky.",1,18
228,228,130,FIORINA,(LAUGHTER),5,1
229,229,130,FIORINA,"Nevertheless, one of the things that I think people don't always understand is how accountable a CEO actually is.",1,19
230,230,130,FIORINA,"So you know, I had to report results every 90 days in excruciating detail. I had to answer every single question about every single result and every single projection in public until there were no more questions.",2,37
231,231,130,FIORINA,"And if I misrepresented those results or those projections in any way, I was held criminally liable. Imagine -- imagine -- if a politician were held to that standard of account.",1,31
232,232,130,FIORINA,I will run on my record all day long.,2,9
233,233,130,FIORINA,(APPLAUSE),5,1
234,234,130,FIORINA,And I believe people need a leader who is prepared to make tough calls in tough times and stand up...,1,20
236,236,132,FIORINA,...and be held accountable.,2,4
241,241,135,CRUZ,"You know, let me say something at the outset. The questions that have been asked so far in this debate illustrate why the American people don't trust the media.",1,29
242,242,135,CRUZ,"(APPLAUSE) This is not a cage match. And, you look at the questions -- ""Donald Trump, are you a comic-book villain?"" ""Ben Carson, can you do math?"" ""John Kasich, will you insult two people over here?"" ""Marco Rubio, why don't you resign?"" ""Jeb Bush, why have your numbers fallen?""",5,49
243,243,135,CRUZ,How about talking about the substantive issues the people care about?,2,11
244,244,135,CRUZ,(APPLAUSE),5,1
246,246,137,CRUZ,"And Carl -- Carl, I'm not finished yet.",1,8
247,247,138,CRUZ,"The contrast with the Democratic debate, where every fawning question from the media was, ""Which of you is more handsome and why?""",1,22
248,248,138,CRUZ,(LAUGHTER),5,1
249,249,138,CRUZ,And let me be clear.,2,5
250,250,138,CRUZ,(CROSSTALK),2,1
252,252,140,CRUZ,"Let me be clear. The men and women on this stage have more ideas, more experience, more common sense than every participant in the Democratic debate. That debate reflected a debate between the Bolsheviks and the Mensheviks.",3,37
253,253,140,CRUZ,(LAUGHTER),5,1
254,254,140,CRUZ,And nobody watching at home believed that any of the moderators had any intention of voting in a Republican primary. The questions that are being asked shouldn't be trying to get people to tear into each other. It should be what are your substantive positions...,1,45
255,255,140,CRUZ,(CROSSTALK),2,1
258,258,142,CRUZ,You want me to answer that question? I'm happy to answer the question...,2,13
259,259,142,CRUZ,(CROSSTALK),2,1
260,260,143,CRUZ,Let me tell you how that question...,2,7
261,261,143,CRUZ,(CROSSTALK),2,1
262,262,144,CRUZ,Let me tell you how that question...,2,7
263,263,144,CRUZ,(CROSSTALK),2,1
265,265,146,CRUZ,"... so you don't actually want to hear the answer, John?",1,11
267,267,148,CRUZ,You don't want to hear the answer. You just want to...,1,11
268,268,148,CRUZ,(CROSSTALK),2,1
271,271,150,CRUZ,You're not interested in an answer.,1,6
272,272,150,CRUZ,(CROSSTALK),2,1
274,274,152,PAUL,"No, I oppose it because you're taking money from the entitlement and then spending it immediately on other items. That's what they're doing. They're taking money from Social Security and they're going to spend it on the military and they're going to spend it on domestic spending.",1,47
275,275,152,PAUL,"Here's the thing. When you look at raising the debt limit, it should be leverage to try to reform government. In 2011, the sequester was passed as a reform to slow down the rate of government. Instead, the Washington establishment raised both. We raised the military spending, took from entitlements, and raised domestic spending and the deficit will explode under this. This is the unholy alliance that people need to know about between right and left. Right and left are spending us into oblivion. We should use the debt ceiling, as precisely to Don, to force upon them budgetary reforms.",1,100
277,277,154,PAUL,"Well, that's a real question. Is there going to be any change in the House with new leadership? I frankly don't think there will be much change because I think what's going to happen is you're going to get more of the same. People in Washington think they were sent there to be adults and govern and do all this. Well, you know what I'm worried about? Not keeping the government open. I'm worried about bankrupting the American people.",1,79
278,278,154,PAUL,We're borrowing a million dollars a minute. That is important. And that's what we have to contrast. Keeping the government open and continuing to borrow a million dollars a minute.,2,30
279,279,154,PAUL,(CROSSTALK),2,1
284,284,157,CHRISTIE,"Well, I wish you would have asked that question years ago when they broke it. I mean, let me be honest with the people who are watching at home. The government has lied to you and they have stolen from you. They told you that your Social Security money is in a trust fund. All that's in that trust fund is a pile of IOUs for money they spent on something else a long time ago.",1,76
285,285,157,CHRISTIE,"And they've stolen from you because now they know they cannot pay these benefits and Social Security is going to be insolvent in seven to eight years. We're sitting up here talking about all these other things; 71 percent of federal spending today is on entitlements, and debt service. And, that's with zero percent interest rates.",1,56
286,286,157,CHRISTIE,"Now, I'm the only person that's put out a detailed plan on how to deal with entitlements. And we'll save a trillion dollars over the next 10 years. And, here's the difference between me and Hillary Clinton. What Hillary Clinton's going to say, and has said before is, she wants to raise Social Security taxes.",1,55
287,287,157,CHRISTIE,"Now, let me ask you a question everybody, and, this is for the guy, you know, who owns a landscaping business out there. If somebody's already stolen money from you, are you going to give them more? Or, are you going to deal with the problem by saying, I'm going to give people who've done well in this country less benefit on the backend. We need to get realistic about this. We're not -- the American people -- forget about anything else, they've already been lied to and stolen from. And...",2,91
289,289,159,CHRISTIE,...I'm going to go to Washington to stop it...,1,9
292,292,162,HUCKABEE,"Well, I would really appreciate that. First of all, yes, we've stolen. Yes, we've lied to the American people about Social Security, and Medicare.",1,24
293,293,162,HUCKABEE,"But, you know what we're not telling them? It's their money. This isn't the governments money. This is not entitlement, it's not welfare. This is money that people have confiscated out of their paychecks. Everytime they got a paycheck, the government reached in and took something out of it before they ever saw it. Now, we're going to blame the people.",1,61
294,294,162,HUCKABEE,"Today congress decided to take another $150 billion dollars away from Social Security so they can borrow more money. That makes no sense to everybody. And, they're always going to say, ""Well, we're going to fix this one day.""",1,39
295,295,162,HUCKABEE,"No their not. It's like a 400 pound man saying, ""I'm going to go on a diet, but I'm eating a sack of Krispy Kremes before I do.""",1,28
296,296,162,HUCKABEE,"And, people are sick of believing that the government is never going to really address this. But, let me tell you who not to blame. Let's quit blaming the people on Social Security. Let's quit making it a problem for them. It's like them getting mugged, and then us saying, well, we're going to mug you some more. You ought to just be able to get over it, get used to it...",1,72
298,298,164,HUCKABEE,"...No, sir...",2,2
300,300,166,HUCKABEE,...we need to honor our promises...,2,6
301,301,166,HUCKABEE,(CROSSTALK),2,1
303,303,168,HUCKABEE,"...before I go. This is the only time I've had a chance, let me finish.",1,15
305,305,170,HUCKABEE,"...This is a matter not of math, this is a matter of morality. If this country that does not keep its promise to seniors then what promise can this country hope to be trusted to keep? And, the fact is, none of them.",2,43
306,306,170,HUCKABEE,(CROSSTALK),2,1
309,309,172,HUCKABEE,"And, the only way -- no...",1,6
310,310,172,HUCKABEE,(CROSSTALK),2,1
311,311,173,CHRISTIE,"...The only way we're going to be morale, the only way we're going to keep our promise to seniors is start by following the first rule we should all follow, which is to look at them, treat them like adults, and tell them the truth.",3,45
312,312,173,CHRISTIE,"It isn't there anymore, Mike. They stole it. It got stolen from them. It's not theirs anymore. The government stole it, and spent it a long time ago...",3,28
313,313,174,HUCKABEE,...Chris...,2,1
314,314,175,CHRISTIE,"So, let's stop fooling around about this, let's tell people the truth. For once, let's do that, and stop trying to give them some kind of fantasy that's never going to come true.",1,33
316,316,177,HUCKABEE,...Chris...,2,1
318,318,179,CRUZ,...Then I'll buy you a tequila...,2,6
320,320,181,CRUZ,"...Or, even some famous Colorado brownies.",1,6
324,324,184,HUCKABEE,"Since he brought me up, do I not get to respond?",1,11
326,326,186,CRUZ,"Well, sure. This deal in Washington is an example of why Washington's broken. Republican leadership joined with every single Democrat, add $80 trillion to our debt to do nothing to fix the problems.",1,33
327,327,186,CRUZ,"And, let me now on Social Security because we were getting into a good substantive exchange, and I want to say I think both Chris, and Mike are right. Governor Huckabee's exactly right, we need to honor the promises made to our seniors, but for younger workers -- look. I'm 44 years old.",1,53
328,328,186,CRUZ,"It is hard to find someone in my generation that thinks Social Security will be there for us. We can save and preserve and strengthen Social Security by making no changes for seniors, but for younger workers gradually increasing the retirement age, changing the rate of growth so that it matches inflation, and critically allowing younger workers to keep a portion of our tax payments in a personal account that we own, we control them, we can pass on to our kids.",1,82
330,330,188,HUCKABEE,"John, listen, let's keep in mind that for one-third of the 60 million Americans on Social Security it represents 90 percent of their income. And, when I hear people talking about means testing, let's just remember what that means. If we means test Social Security, it means that the government decides whether or not I deserve it. If a person lives in a seven room house, does the government get to say you don't need seven rooms, we're going to take two of them away?",1,85
331,331,189,HUCKABEE,"Folks, the government has no business stealing even more from the people who have paid this in. I just want to remind you, people paid their money. They expect to have it. And, if this government doesn't pay it, than tell me what's different between the government and Bernie Madolf, who sits in prison today for doing less than what the government has done to the people on social security and Medicare in this country.",1,75
332,332,189,HUCKABEE,(APPLAUSE),5,1
340,340,192,TRUMP,"Well, first of all, like many other very big businessmen, I could name them here, but I'm not going to do that for a lot of obvious reasons, but the biggest, and almost all of them, they've all used the chapter laws, the bankruptcy laws to their own benefit.",1,49
341,341,192,TRUMP,"Before this, I was a very successful person as a developer and as a businessman. Atlantic City has gone bad. I mean, Chris will know about that. I'm not blaming Chris, by the way, but he will know about that. Caesar's -- excuse me -- Caesar's, the Rolls-Royce, as you know, is in bankruptcy. Almost every hotel in Atlantic City has either been in bankruptcy or will be in bankruptcy -- the biggest.",1,73
342,342,192,TRUMP,"But also the biggest people (ph) -- now I've used that to my advantage as a business man, for my family, for myself. I never filed for bankruptcy. But many, many people did. What happened with Atlantic City is very, very disgraceful.",1,42
343,343,192,TRUMP,"Now hundreds of companies I've opened. I've used it three times, maybe four times. Came out great. But I guess I'm supposed to come out great. That is what I could do for the country. We owe $19 trillion, boy am I good at solving debt problems. Nobody can solve it like me.",1,53
