SentenceNo,SequenceNo,Speaker,Text
27,15,CARSON,"Probably in terms of the applying for the job of president, a weakness would be not really seeing myself in that position until hundreds of thousands of people began to tell me that I needed to do it. I do, however, believe in Reagan's 11th commandment, and will not be engaging in awful things about my compatriots here."
28,15,CARSON,"And recognizing that it's so important, this election, because we're talking about America for the people versus America for the government."
29,16,QUINTANILLA,Mrs. Fiorina?
30,17,FIORINA,"Well, gee, after the last debate, I was told that I didn't smile enough. (LAUGHTER)"
31,18,QUINTANILLA,Fixed it.
32,19,FIORINA,"But I also think that these are very serious times; 75 percent of the American people think the federal government is corrupt. I agree with them. And this big powerful, corrupt bureaucracy works now only for the big, the powerful, the wealthy and the well-connected. Meantime, wages have stagnated for 40 years. We have more Americans out of work or just Americans who quit looking for work for 40 years."
33,19,FIORINA,Ours was intended to be a citizen government. This is about more than replacing a D with an R. We need a leader who will help us take our government back.
34,20,QUINTANILLA,Senator Cruz?
35,21,CRUZ,"I'm too agreeable, easy going."
36,21,CRUZ,(LAUGHTER)
37,21,CRUZ,"You know, I think my biggest weakness is exactly the opposite. I'm a fighter. I am passionate about what I believe. I've been passionate my whole life about the Constitution. And, you know, for six-and-a-half years, we've had a gigantic party. If you want someone to grab a beer with, I may not be that guy. But if you want someone to drive you home, I will get the job done and I will get you home."
38,22,QUINTANILLA,Governor Christie?
39,23,CHRISTIE,"I don't see a lot of weakness on this stage, quite frankly. Where I see the weakness is in those three people that are left on the Democratic stage. You know, I see a socialist, an isolationist and a pessimist. And for the sake of me, I can't figure out which one is which."
40,23,CHRISTIE,(LAUGHTER)
41,23,CHRISTIE,"But I will -- but I will tell you this, the socialist says they're going to pay for everything and give you everything for free, except they don't say they're going to raise it through taxes to 90 percent to do it. The isolationist is the one who wants to continue to follow a foreign policy that has fewer democracies today than when Barack Obama came into office around the world."
42,23,CHRISTIE,"But I know who the pessimist is. It's Hillary Clinton. And you put me on that stage against her next September, she won't get within 10 miles of the White House. Take it to the bank."
43,24,QUINTANILLA,Senator Paul?
44,25,PAUL,"You know, I left my medical practice and ran for office because I was concerned about an $18 trillion debt. We borrow a million dollars a minute. Now, on the floor of the Congress, the Washington establishment from both parties puts forward a bill that will explode the deficit. It allows President Obama to borrow unlimited amounts of money."
45,25,PAUL,I will stand firm. I will spend every ounce of energy to stop it. I will begin tomorrow to filibuster it. And I ask everyone in America to call Congress tomorrow and say enough is enough; no more debt.
46,26,QUINTANILLA,Thanks to all the candidates.
47,26,QUINTANILLA,John?
48,27,HARWOOD,"Mr. Trump, you've done very well in this campaign so far by promising to build a wall and make another country pay for it."
49,28,TRUMP,Right.
50,29,HARWOOD,Send 11 million people out of the country. Cut taxes $10 trillion without increasing the deficit.
51,30,TRUMP,Right.
52,31,HARWOOD,And make Americans better off because your greatness would replace the stupidity and incompetence of others.
53,32,TRUMP,That's right.
54,33,HARWOOD,Let's be honest.
55,33,HARWOOD,(LAUGHTER)
56,33,HARWOOD,Is this a comic book version of a presidential campaign?
57,34,TRUMP,"No, not a comic book, and it's not a very nicely asked question the way you say that."
58,34,TRUMP,"Larry Kudlow is an example, who I have a lot of respect for, who loves my tax plan. We're reducing taxes to 15 percent. We're bringing corporate taxes down, bringing money back in, corporate inversions. We have $2.5 trillion outside of the United States which we want to bring back in."
59,34,TRUMP,"As far as the wall is concerned, we're going to build a wall. We're going to create a border. We're going to let people in, but they're going to come in legally. They're going to come in legally. And it's something that can be done, and I get questioned about that. They built the great wall of China. That's 13,000 miles. Here, we actually need 1,000 because we have natural barriers. So we need 1,000."
60,35,TRUMP,"We can do a wall. We're going to have a big, fat beautiful door right in the middle of the wall. We're going to have people come in, but they're coming in legally. And Mexico's going to pay for the wall because Mexico -- I love the Mexican people; I respect the Mexican leaders -- but the leaders are much sharper, smarter and more cunning than our leaders."
61,35,TRUMP,"And just to finish, people say, how will you get Mexico to pay? A politician other than the people in the states -- I don't want to -- a politician cannot get them to pay. I can. We lose, we have a trade imbalance..."
62,35,TRUMP,"Excuse me, John."
63,35,TRUMP,... of $50 billion...
64,36,HARWOOD,We're at the 60 seconds.
65,37,TRUMP,... believe me the world is peanuts by comparison.
66,38,HARWOOD,"We're at 60 seconds, but I gotta ask you, you talked about your tax plan. You say that it would not increase the deficit because you cut taxes $10 trillion in the economy would take off like..."
67,38,HARWOOD,(CROSSTALK)
68,39,HARWOOD,"Hold on, hold on. The economy would take off like a rocket ship."
69,40,TRUMP,Right. Dynamically.
70,41,HARWOOD,I talked to economic advisers who have served presidents of both parties. They said that you have as chance of cutting taxes that much without increasing the deficit as you would of flying away from that podium by flapping your arms.
71,42,TRUMP,"Then you have to get rid of Larry Kudlow, who sits on your panel, who's a great guy, who came out the other day and said, I love Trump's tax plan."
72,42,TRUMP,(CROSSTALK)
73,43,HARWOOD,"The Tax Foundation says -- has looked at all of our plans and -- and his creates, even with the dynamic effect, $8 trillion dollar deficit... QUICK: Gentlemen -- we'll -- we'll get back to this -- just a minute -- just a minute we're gonna continue this."
74,43,HARWOOD,I wanna talk taxes...
75,44,QUINTANILLA,Hold it. We'll cut it back to you in just a minute. Becky's moving on.
76,45,QUICK,"Dr. Carson, let's talk about taxes."
77,45,QUICK,"You have a flat tax plan of 10 percent flat taxes, and -- I've looked at it -- and this is something that is very appealing to a lot of voters, but I've had a really tough time trying to make the math work on this."
78,45,QUICK,"If you were to took a 10 percent tax, with the numbers right now in total personal income, you're gonna come in with bring in $1.5 trillion. That is less than half of what we bring in right now. And by the way, it's gonna leave us in a $2 trillion hole."
79,45,QUICK,So what analysis got you to the point where you think this will work?
80,46,CARSON,"Well, first of all, I didn't say that the rate would be 10 percent. I used the tithing analogy."
81,47,QUICK,"I -- I understand that, but if you -- if you look at the numbers you probably have to get to 28."
82,48,CARSON,The rate -- the rate -- the rate is gonna be much closer to 15 percent.
83,49,QUICK,15 percent still leaves you with a $1.1 trillion hole.
84,50,CARSON,You also have to get rid of all the deductions and all the loopholes. You also have to some strategically cutting in several places.
85,50,CARSON,"Remember, we have 645 federal agencies and sub-agencies. Anybody who tells me that we need every penny and every one of those is in a fantasy world."
86,50,CARSON,"So, also, we can stimulate the economy. That's gonna be the real growth engine. Stimulating the economy -- because it's tethered down right now with so many regulations..."
87,51,QUICK,You'd have to cut -- you'd have to cut government about 40 percent to make it work with a $1.1 trillion hole.
88,52,CARSON,That's not true.
89,53,QUICK,"That is true, I looked at the numbers."
90,54,CARSON,"When -- when we put all the facts down, you'll be able to see that it's not true, it works out very well."
91,55,QUICK,"Dr. Carson, thank you."
92,56,KASICH,"Listen, I want to just comment."
93,57,HARWOOD,"Governor Kasich, hold it, I'm coming to you right now. The..."
94,58,KASICH,Well I want to comment on this. This is the fantasy...
95,59,HARWOOD,"Well, I'm asking you about this."
96,60,KASICH,This is the fantasy that I talked about in the beginning.
97,61,HARWOOD,I'm about to ask you about this.
98,61,HARWOOD,"That is, you had some very strong words to say yesterday about what's happening in your party and what you're hearing from the two gentlemen we've just heard from. Would you repeat it?"
99,62,KASICH,I'm the only person on this stage that actually was involved in the chief architect of balancing the Federal Budget.
100,62,KASICH,"You can't do it with empty promised. You know, these plans would put us trillions and trillions of dollars in debt."
101,62,KASICH,"I actually have a plan. I'm the only one on this stage that has a plan that would create jobs, cut taxes, balance the budget and can get it done because I'm realistic. You just don't make promises like this."
102,62,KASICH,"Why don't we just give a chicken in every pot, while we're, you know, coming up -- coming up with these fantasy tax schemes. We'll just clean it up. Where are you gonna clean it up?"
103,62,KASICH,"You have to deal with entitlements, you have to be in a position to control discretionary spending. You gotta be creative and imaginative."
104,62,KASICH,"Now, let me just be clear, John. I went into Ohio where we had an $8 billion hole and now we have a $2 billion surplus. We're up 347,000 jobs."
105,62,KASICH,"When I was in Washington, I fought to get the budget balanced. I was the architect. It was the first time we did it since man walked on the moon. We cut taxes and we had a $5 trillion projected surplus when I left."
106,62,KASICH,"That's was hard work. Fiscal discipline, know what you're doing. Creativity."
107,62,KASICH,"This stuff is fantasy. Just like getting rid of Medicare and Medicaid. Come on, that's just not -- you scare senior citizens with that. It's not responsible."
108,63,HARWOOD,"Well, let's just get more pointed about it. You said yesterday that you were hearing proposals that were just crazy from your colleagues."
109,63,HARWOOD,Who were you talking about?
110,64,KASICH,"Well, I mean right here. To talk about we're just gonna have a 10 percent tithe and that's how we're gonna fund the government? And we're going to just fix everything with waste, fraud, and abuse? Or that we're just going to be great? Or we're going to ship 10 million Americans -- or 10 million people out of this country, leaving their children here in this country and dividing families?"
111,64,KASICH,"Folks, we've got to wake up. We cannot elect somebody that doesn't know how to do the job. You have got to pick somebody who has experience, somebody that has the know-how, the discipline."
112,64,KASICH,"And I spent my entire lifetime balancing federal budgets, growing jobs, the same in Ohio. And I will go back to Washington with my plan."
113,65,QUINTANILLA,"Governor -- Governor. thank you, Governor."
114,66,KASICH,"And I will have done it within 100 days, and it will pass. And we will be strong again. Thank you."
115,67,QUINTANILLA,"Mr. Trump, 30 seconds."
116,68,TRUMP,"First of all, John got lucky with a thing called fracking, OK? He hit oil. He got lucky with fracking. Believe me, that is why Ohio is doing well. Number -- and that is important for you to know."
117,68,TRUMP,"Number two, this was the man that was a managing general partner at Lehman Brothers when it went down the tubes and almost took every one of us with it, including Ben and myself, because I was there and I watched what happened."
118,68,TRUMP,And Lehman Brothers started it all. He was on the board. And he was a managing general partner.
119,68,TRUMP,"And just thirdly, he was so nice. He was such a nice guy. And he said, oh, I'm never going to attack. But then his poll numbers tanked. He has got -- that is why he is on the end."
120,68,TRUMP,(LAUGHTER) And he got nasty. And he got nasty. So you know what? You can have him.
121,68,TRUMP,(CROSSTALK)
122,69,KASICH,"Let me just -- let me respond. First of all, Ohio does have an energy industry, but we're diversified. We're one of the fastest growing states in the country. We came back from the dead. And you know what? It works very, very well."
123,69,KASICH,"And secondly, when you talk about me being on the board of Lehman Brothers, I wasn't on the board of Lehman Brothers. I was a banker and I was proud of it. And I traveled the country and learned how people made jobs."
124,69,KASICH,"We ought to have politicians who not only have government experience but know how the CEOs and the job creators work. My state is doing great across the board. And guess what, in 2011, I got a deal..."
125,70,QUICK,Governor...
126,71,KASICH,... an agreement with the...
127,71,KASICH,(CROSSTALK)
128,72,KASICH,... that he tried to take credit for four years later. It's a joke.
129,73,QUINTANILLA,"Thank you, Governor."
130,74,QUICK,"Dr. Carson, let me get 30 seconds with Dr. Carson..."
131,74,QUICK,(CROSSTALK)
132,75,CARSON,Since I was attacked too.
133,76,QUICK,Thank you.
134,77,CARSON,"Let me just say, if you're talking about an $18 trillion economy, you're talking about a 15 percent tax on your gross domestic product. You're talking about $2.7 trillion. We have a budget closer to $3.5 trillion."
135,77,CARSON,"But if you also apply that same 15 percent to several other things, including corporate taxes, and including the capital gains taxes, you make that amount up pretty quickly. So that is not by any stretch a pie in the sky."
136,78,CRUZ,"Becky, if you want a 10 percent flat tax where the numbers add up, I rolled out my tax plan today, you can find it on line at tedcruz.org. It is a simple flat tax where for individuals, a family of four pays nothing on the first $36,000."
137,78,CRUZ,"After that you pay 10 percent as a flat tax going up. The billionaire and the working man, no hedge fund manager pays less than his secretary."
138,78,CRUZ,"On top of that, there is a business flat tax of 16 percent. Now that applies universally to giant corporations that with lobbyists right now are not paying taxes, and as small business."
139,78,CRUZ,"And you wanted to know the numbers, the Tax Foundation, which has scored every one of our plans, shows that this plan will allow the economy to generate 4.9 million jobs, to raise wages over 12 percent, and to generate 14 percent growth."
140,78,CRUZ,"And it costs, with dynamic scoring, less than a trillion dollars. Those are the hard numbers. And every single income decile sees a double-digit increase in after-tax income."
141,79,QUICK,"Senator -- Senator, thank you."
142,80,CRUZ,"Growth is the answer. And as Reagan demonstrated, if we cut taxes, we can bring back growth."
143,81,QUICK,"Gentlemen, I'm sorry, we need to..."
144,81,QUICK,(CROSSTALK)
145,82,QUINTANILLA,We're going to try to move on.
146,82,QUINTANILLA,(CROSSTALK)
147,83,FIORINA,"Let me just say on taxes, how long have we been talking about tax reform in Washington, D.C.? We have been talking about it for decades. We now have a 73,000-page tax code."
148,83,FIORINA,"There have been more than 4,000 changes to the tax plan since 2001 alone. There are loads of great ideas, great conservative ideas from wonderful think tanks about how to reform the tax code."
149,83,FIORINA,"The problem is we never get it done. We have talked about tax reform in every single election for decades. It never happens. And the politicians always say it is so complicated, nobody but a politician can figure it out."
150,83,FIORINA,"The truth is this, the big problem, we need a leader in Washington who understands how to get something done, not to talk about it, not to propose it, to get it done."
151,84,QUINTANILLA,"You want to bring 70,000 pages to three?"
152,85,FIORINA,"That's right, three pages."
153,86,QUINTANILLA,Is that using really small type?
154,87,FIORINA,You know why three?
155,88,QUINTANILLA,Is that using really small type?
156,89,FIORINA,"No. You know why three? Because only if it's about three pages are you leveling the playing field between the big, the powerful, the wealthy and the well-connected who can hire the armies of lawyers and accountants and, yes, lobbyists to help them navigate their way through 73,000 pages."
157,89,FIORINA,Three pages is about the maximum that a single business owner or a farmer or just a couple can understand without hiring somebody. Almost 60 percent of American people now need to hire an expert to understand their taxes.
158,89,FIORINA,"So yes, you're going to hear a lot of talk about tax reform --"
159,90,QUINTANILLA,Mrs. Fiorina --
160,91,FIORINA,-- the issue is who is going to get it done.
161,91,FIORINA,(CROSSTALK)
162,92,QUINTANILLA,We're going to --
163,93,QUICK,We're going to move on.
164,94,QUINTANILLA,"We will come around the bend, I promise. This one is for Senator Rubio. You've been a young man in a hurry ever since you won your first election in your 20s. You've had a big accomplishment in the Senate, an immigration bill providing a path to citizenship the conservatives in your party hate, and even you don't support anymore. Now, you're skipping more votes than any senator to run for president. Why not slow down, get a few more things done first or least finish what you start?"
165,95,RUBIO,That's an interesting question. That's exactly what the Republican establishment says too. Why don't you wait in line? Wait for what? This country is running out of time. We can't afford to have another four years like the last eight years.
166,95,RUBIO,"Watching this broadcast tonight are millions of people that are living paycheck to paycheck. They're working as hard as they ever have, everything costs more, and they haven't had a raise in decades."
167,95,RUBIO,"You have small businesses in America that are struggling. For the first time in 35 years, we have more businesses closing than starting. We have a world that's out of control and has grown dangerous and a president that is weakening our military and making our foreign policy unstable and unreliable in the eyes of our allies. And our adversaries continue to grow stronger."
168,95,RUBIO,We have a -- they say there's no bipartisanship in Washington? We have a $19 trillion bipartisan debt and it continues to grow as we borrow money from countries that do not like us to pay for government we cannot afford.
169,95,RUBIO,"The time to act is now. The time to turn the page is now. If we -- if we don't act now, we are going to be the first generation in American history that leaves our children worse off than ourselves."
170,96,QUINTANILLA,"So when the Sun-Sentinel says Rubio should resign, not rip us off, when they say Floridians sent you to Washington to do a job, when they say you act like you hate your job, do you?"
171,97,RUBIO,"Let me say, I read that editorial today with a great amusement. It's actually evidence of the bias that exists in the American media today."
172,98,QUINTANILLA,"Well, do you hate your job?"
173,99,RUBIO,"Let me -- let me answer your question on the Sun-Sentinel editorial today. Back in 2004, one of my predecessors to the Senate by the name of Bob Graham, a Democrat, ran for president missing over 30 percent of his votes. I don't recall them calling for his resignation --"
174,100,QUINTANILLA,Is that the standard?
175,101,RUBIO,"Later that year, in 2004, John Kerry ran for president missing close to 60 to 70 percent of his votes. I don't recall the Sun -- in fact, the Sun-Sentinel endorsed him. In 2008, Barack Obama missed 60 or 70 percent of his votes, and the same newspaper endorsed him again. So this is another example of the double standard that exists in this country between the mainstream media and the conservative movement."
176,101,RUBIO,(APPLAUSE)
177,102,QUINTANILLA,"Senator, thank you. John."
178,103,BUSH,"Could I -- could I bring something up here, because I'm a constituent of the senator and I helped him and I expected that he would do constituent service, which means that he shows up to work. He got endorsed by the Sun-Sentinel because he was the most talented guy in the field. He's a gifted politician."
179,103,BUSH,"But Marco, when you signed up for this, this was a six-year term, and you should be showing up to work. I mean, literally, the Senate -- what is it, like a French work week? You get, like, three days where you have to show up? You can campaign, or just resign and let someone else take the job. There are a lot of people living paycheck to paycheck in Florida as well, they're looking for a senator that will fight for them each and every day."
180,104,RUBIO,"I get to respond, right?"
181,105,QUICK,Thirty seconds.
182,106,RUBIO,"Well, it's interesting. Over the last few weeks, I've listened to Jeb as he walked around the country and said that you're modeling your campaign after John McCain, that you're going to launch a furious comeback the way he did, by fighting hard in New Hampshire and places like that, carrying your own bag at the airport. You know how many votes John McCain missed when he was carrying out that furious comeback that you're now modeling after?"
183,107,BUSH,He wasn't my senator.
184,108,RUBIO,"No Jeb, I don't remember -- well, let me tell you. I don't remember you ever complaining about John McCain's vote record. The only reason why you're doing it now is because we're running for the same position, and someone has convinced you that attacking me is going to help you."
185,109,BUSH,"Well, I've been --"
186,110,RUBIO,Here's the bottom line.
187,110,RUBIO,(APPLAUSE)
188,110,RUBIO,"I'm not -- my campaign is going to be about the future of America, it's not going to be about attacking anyone else on this stage. I will continue to have tremendous admiration and respect for Governor Bush. I'm not running against Governor Bush, I'm not running against anyone on this stage. I'm running for president because there is no way we can elect Hillary Clinton to continue the policies of Barack Obama."
189,111,QUINTANILLA,"Thank you, Senator."
190,112,TRUMP,I think you're --
191,112,TRUMP,(APPLAUSE)
192,112,TRUMP,(CROSSTALK)
193,113,HARWOOD,Hold on. I think there's a -- I've got question for --
194,113,HARWOOD,(CROSSTALK)
195,114,KASICH,"John Harwood, there's a bigger issue here."
196,115,HARWOOD,"Hold on, Governor. I've got a question for Governor Bush."
197,115,HARWOOD,(CROSSTALK)
198,116,HARWOOD,"No, we're moving to Governor Bush. Governor, the fact that you're at the fifth lectern tonight shows how far your stock has fallen in this race, despite the big investment your donors have made."
199,117,HARWOOD,"You noted recently, after slashing your payroll, that you had better things to do than sit around and be demonized by other people. I wanted to ask you --"
200,118,BUSH,"No, no. What I said was I don't believe that I would be president of the United States and have the same dysfunction that exists in Washington, D.C. now."
201,119,HARWOOD,OK.
202,120,BUSH,"Don't vote for me if you want to keep the gridlock in Washington, D.C."
203,121,HARWOOD,Got it.
204,122,BUSH,"But if you want someone who has a proven, effective leadership, that was a governor of a state, that transformed the culture there, elect me so I can fight for the American people and change the culture in Washington, D.C."
205,123,HARWOOD,But it's a -- OK. It's a -- it's a question about why you're having difficulty. I want to ask you in this context.
206,123,HARWOOD,"Ben Bernanke, who was appointed Fed chairman by your brother, recently wrote a book in which he said he no longer considers himself a Republican because the Republican Party has given in to know- nothingism. Is that why you're having a difficult time in this race?"
207,124,BUSH,"(inaudible), the great majority of Republicans and Americans believe in a hopeful future. They don't believe in building walls and a pessimistic view of the future."
208,124,BUSH,They're concerned that Washington is so dysfunctional it is holding them back. There are lids on people's aspirations. Think about it six and a half million people working part-time. Workforce participation rates lower than they were in 1977.
209,124,BUSH,"Six million more people living in poverty than the day that Barack Obama got elected president, and the left just wants more of the same. We have to offer a compelling alternative that is based on hope and optimism and grounded in serious policy, which I've laid out."
210,124,BUSH,And you can go get it at jeb2016.com.
211,125,HARWOOD,"Thank you, Governor."
212,125,HARWOOD,(CROSSTALK)
213,126,HARWOOD,We're gonna get down the line. Becky's got a question.
214,127,QUICK,We'll get to everyone.
215,127,QUICK,"Ms. Fiorina, I -- I'd like to ask you a question. You are running for president of the United States because of your record running Hewlett-Packard. But the stock market is usually a fair indicator of the performance of a CEO, and the market was not kind to you."
216,127,QUICK,"Someone who invested a dollar in your company the day you took office had lost half of the dollar by the day you left. Obviously, you've talked in the past about what a difficult time it was for technology companies, but anybody who was following the market knows that your stock was a much worse performer, if you looked at your competitors, if you looked at the overall market."
217,127,QUICK,"I just wonder, in terms of all of that -- you know, we look back, your board fired you. I just wondered why you think we should hire you now."
218,128,FIORINA,"You know, the NASDAQ dropped 80 percent -- 80 percent -- and it took 15 years for the NASDAQ to recover. I was recruited to H.P. to save a company."
219,128,FIORINA,"It was a company that had grown into a bloated, inept bureaucracy that cost too much and delivered too little to customers and shareholders. It had missed, before I had arrived, expectations for nine quarters in a row."
220,128,FIORINA,"As an outsider, I tackled H.P.'s entrenched problems head-on. I cut the bureaucracy down to size, re-introduced accountability, focused on service, on innovation, on leading in every market, in every product segment."
221,128,FIORINA,"And yes, it was a very difficult time. However, we saved 80,000 jobs and we went on to grow to 160,000 jobs, and scores of technology companies literally went out of business -- like Gateway -- taking all their jobs with them."
222,128,FIORINA,"The truth is I had to make some tough calls in some tough times. I think, actually, people are looking for that in Washington now. And yes, I was fired over a disagreement in the boardroom. There are politics in the boardroom as well."
223,128,FIORINA,"And yet the man who led my firing, Tom Perkins, an icon of Silicon Valley, has come out publicly and said, ""you know what? We were wrong. She was right. She was a great CEO. She'd be a great president of the United States because the leadership she brought to H.P. is exactly the leadership we need in Washington, D.C."
224,129,QUICK,"Mrs. Fiorina, it's interesting that you bring up Mr. Perkins, because..."
225,129,QUICK,"(APPLAUSE) ...he said a lot of very questionable things. Last year, in an interview, he said that he thinks wealthy people should get more votes than poor people."
226,129,QUICK,"I think his quote was that, ""if you pay zero dollars in taxes, you should get zero votes. If you pay a million dollars, you should get a million votes."" Is this the type of person you want defending you?"
227,130,FIORINA,"Well, this is one of the reasons why Tom Perkins and I had disagreements in the boardroom, Becky."
228,130,FIORINA,(LAUGHTER)
229,130,FIORINA,"Nevertheless, one of the things that I think people don't always understand is how accountable a CEO actually is."
230,130,FIORINA,"So you know, I had to report results every 90 days in excruciating detail. I had to answer every single question about every single result and every single projection in public until there were no more questions."
231,130,FIORINA,"And if I misrepresented those results or those projections in any way, I was held criminally liable. Imagine -- imagine -- if a politician were held to that standard of account."
232,130,FIORINA,I will run on my record all day long.
233,130,FIORINA,(APPLAUSE)
234,130,FIORINA,And I believe people need a leader who is prepared to make tough calls in tough times and stand up...
235,131,QUICK,Mrs. Fiorina.
236,132,FIORINA,...and be held accountable.
237,133,QUICK,"Thank you, we're out of time. Thank you, Mrs. Fiorina."
238,133,QUICK,Carl.
239,134,QUINTANILLA,"Senator Cruz. Congressional Republicans, Democrats and the White House are about to strike a compromise that would raise the debt limit, prevent a government shutdown and calm financial markets that fear of -- another Washington-created crisis is on the way."
240,134,QUINTANILLA,Does your opposition to it show that you're not the kind of problem-solver American voters want?
241,135,CRUZ,"You know, let me say something at the outset. The questions that have been asked so far in this debate illustrate why the American people don't trust the media."
242,135,CRUZ,"(APPLAUSE) This is not a cage match. And, you look at the questions -- ""Donald Trump, are you a comic-book villain?"" ""Ben Carson, can you do math?"" ""John Kasich, will you insult two people over here?"" ""Marco Rubio, why don't you resign?"" ""Jeb Bush, why have your numbers fallen?"""
243,135,CRUZ,How about talking about the substantive issues the people care about?
244,135,CRUZ,(APPLAUSE)
245,136,QUINTANILLA,(inaudible) do we get credit (inaudible)?
246,137,CRUZ,"And Carl -- Carl, I'm not finished yet."
247,138,CRUZ,"The contrast with the Democratic debate, where every fawning question from the media was, ""Which of you is more handsome and why?"""
248,138,CRUZ,(LAUGHTER)
249,138,CRUZ,And let me be clear.
250,138,CRUZ,(CROSSTALK)
251,139,QUINTANILLA,"So, this is a question about (inaudible), which you have 30 seconds left to answer, should you choose to do so."
252,140,CRUZ,"Let me be clear. The men and women on this stage have more ideas, more experience, more common sense than every participant in the Democratic debate. That debate reflected a debate between the Bolsheviks and the Mensheviks."
253,140,CRUZ,(LAUGHTER)
254,140,CRUZ,And nobody watching at home believed that any of the moderators had any intention of voting in a Republican primary. The questions that are being asked shouldn't be trying to get people to tear into each other. It should be what are your substantive positions...
255,140,CRUZ,(CROSSTALK)
256,141,QUINTANILLA,OK. (inaudible) I asked you about the debt limit and I got no answer.
257,141,QUINTANILLA,(CROSSTALK)
258,142,CRUZ,You want me to answer that question? I'm happy to answer the question...
259,142,CRUZ,(CROSSTALK)
260,143,CRUZ,Let me tell you how that question...
261,143,CRUZ,(CROSSTALK)
262,144,CRUZ,Let me tell you how that question...
263,144,CRUZ,(CROSSTALK)
264,145,HARWOOD,"Senator Paul, I've got a question for you on the same subject."
265,146,CRUZ,"... so you don't actually want to hear the answer, John?"
266,147,HARWOOD,Senator Paul?
267,148,CRUZ,You don't want to hear the answer. You just want to...
268,148,CRUZ,(CROSSTALK)
269,149,HARWOOD,You used your time on something else.
270,149,HARWOOD,Senator Paul?
271,150,CRUZ,You're not interested in an answer.
272,150,CRUZ,(CROSSTALK)
273,151,HARWOOD,"Senator Paul, the budget deal crafted by Speaker Boehner and passed by the House today makes cuts in entitlement programs, Medicare and Social Security disability, which are the very programs conservatives say need cutting to shrink government and solve our country's long-term budget deficit. Do you oppose that budget deal because it doesn't cut those programs enough?"
274,152,PAUL,"No, I oppose it because you're taking money from the entitlement and then spending it immediately on other items. That's what they're doing. They're taking money from Social Security and they're going to spend it on the military and they're going to spend it on domestic spending."
275,152,PAUL,"Here's the thing. When you look at raising the debt limit, it should be leverage to try to reform government. In 2011, the sequester was passed as a reform to slow down the rate of government. Instead, the Washington establishment raised both. We raised the military spending, took from entitlements, and raised domestic spending and the deficit will explode under this. This is the unholy alliance that people need to know about between right and left. Right and left are spending us into oblivion. We should use the debt ceiling, as precisely to Don, to force upon them budgetary reforms."
