SentenceNo,SequenceNo,Speaker,Text
68,30,RUBIO,Here is what the numbers also say. Two-thirds of the people who have cast a vote in a Republican primary or caucus have voted against you. They do not want you to be our nominee.
69,31,RUBIO," And, the reason why is because we are not going to turn over the conservative movement, or the party of Lincoln or Reagan, for example, to someone whose positions are not conservative. To someone who last week defended Planned Parenthood for 30 seconds a debate stage. To someone, for example, that has no ideas on foreign — someone who thinks the nuclear triad is a rock band from the 1980’s."
70,32,TRUMP," Oh yeah, you’re..."
71,33,RUBIO, ... To someone who time and again on issue after issue has not proven that he has the principals...
72,33,RUBIO,(BELL RINGING)
73,34,RUBIO," ... That outline what the conservative movement has been about. And, as Ted said, the things that made America great."
74,34,RUBIO,"America is great because of the conservative principles of limited government and free enterprise, and a strong national defense..."
75,35,KELLY, ... OK...
76,36,RUBIO," ... And, our nominee needs to be someone that stands by those things..."
77,37,KELLY, ... Alright...
78,38,RUBIO, ... Donald has not demonstrated that.
79,39,KELLY," ... Go ahead, Mr. Trump, and then we’re going to have to go to Governor Kasich."
80,39,KELLY,(APPLAUSE)
81,40,TRUMP," Very nice words, but happens to be wrong. CNN just came out with a poll two days ago that..."
82,41,RUBIO, ... (INAUDIBLE)
83,42,TRUMP, ... That national poll — excuse me...
84,43,RUBIO, ... (INAUDIBLE)
85,44,TRUMP," ... The national poll — a national poll where he’s at 15, he’s at 14... RUBIO: ... (INAUDIBLE)..."
86,45,TRUMP," ... And, I’m at 49, so when he says 75 percent, that would mean that 80 percent of the people don’t dig you, and I’m back down to 50..."
87,46,RUBIO," ... Of all the people on this stage, he performs the worst against Hillary Clinton."
88,47,TRUMP, Wrong...
89,48,RUBIO," ... If you’re our nominee, we will lose..."
90,49,TRUMP, ... I beat Hillary Clinton. I beat Hillary Clinton in many polls...
91,50,RUBIO, ... You lose by (INAUDIBLE) points (ph). She will wipe you out.
92,51,TRUMP, I beat Hillary Clinton in many polls...
93,52,RUBIO, If you’re our nominee (INAUDIBLE)...
94,53,KELLY," ... Hold on, Senator, hold on..."
95,54,TRUMP, ... I think I’m talking...
96,55,RUBIO," ... Oh, excuse me (INAUDIBLE)..."
97,56,TRUMP, ... I beat Hillary Clinton...
98,57,KELLY," ... Hold on, hold on, hold on..."
99,58,TRUMP, ... I hope you think (INAUDIBLE)...
100,59,KELLY," ... The audience cannot understand when you’re talking over each other. Finish your point, Mr. Trump."
101,60,TRUMP," ... I beat Hillary Clinton in many polls. The Cue (ph) poll just came out. I beat Hillary Clinton in a recent Fox poll, I beat Hillary Clinton in USA Today, I beat her today in a poll in Ohio. I beat — I’m the only one that beats Hillary Clinton."
102,60,TRUMP,"I beat — and I have not started on Hillary yet. Believe me, I will..."
103,60,TRUMP,(CHEERING)
104,61,TRUMP, ... start soon. I haven’t even started.
105,62,KELLY, OK.
106,63,BAIER," Governor Kasich, today you admitted that you have a narrow path to the nomination through a contested convention. Today also Mitt Romney proposed that Republicans should vote for Senator Rubio in Florida. They should vote for you in Ohio. They should vote for Senator Cruz in states that he can beat Mr. Trump to prevent Mr. Trump from getting the nomination."
107,63,BAIER,"So, do you buy Romney’s blueprint, and can you say tonight to your Florida supporters that they should vote for Senator Rubio to get a contested convention?"
108,64,KASICH," You know, this so much about process. It frankly is boring to me. I would like it clear though, since we’re talking about polls, I beat Hillary Clinton by more than 11 points, and the reason it happens..."
109,64,KASICH,(CHEERING)
110,65,TRUMP, ... In one poll...
111,66,KASICH, ... The reason it happens...
112,67,TRUMP, ... In one poll...
113,68,KASICH," ... You know, the reason is because, as the Democrats tell me all the time, I can get the crossover votes. You see, because throughout this campaign I’ve talked about issues, I have never tried to go and get into these scrums that we’re seeing here on the stage. And, people say everywhere I go, “you seem to be the adult on the stage.”"
114,68,KASICH,(APPLAUSE)
115,68,KASICH,"In terms of — you know, Mitt Romney’s a great guy, but he doesn’t determine my strategy. The fact of the matter is I’m running for president because I worked hard to fix this country when I was in Washington as the Chairman of the Budget Committee where we had some of the most significant job growth after we balanced the budget."
116,68,KASICH,"We had wages going up, it was very successful in Ohio. Our wages grow faster than the national average. We’re up over 400,000 jobs. We paid down, back in the old days, they paid down half a trillion dollars of the national debt. It’s a formula that works. And, I believe that formula will work when I return to Washington as the president."
117,68,KASICH,"And, by the way, I won’t need on the job training because I know how to do all of this, and within the first 100 days I will have a plan that will pass the Congress because..."
118,68,KASICH,(BELL RINGING)
119,69,KASICH," ... It is reasonable, and I can bring both sides together..."
120,69,KASICH,(APPLAUSE)
121,70,BAIER," ... But Governor, this is all about process. For voters, they need to see a path to get to the nomination if they’re going to support you."
122,70,BAIER,"On Super Tuesday you finished in single digits in nine out of 11 states. So, you can see that your path is through a contested convention. How do you..."
123,71,KASICH," ... Well, Bret, I think we’re all really there. I mean, the simple fact is that, you know, you all wrote me off. You wrote me off before I even got to New Hampshire, then when I finished in New Hampshire you wrote me off in the South, then you wrote me off in Super Tuesday."
124,71,KASICH,"I split delegates in Vermont with Donald Trump, I finished second in Massachusetts, and we won delegates in Virginia. But, guess what? It’s now March Madness and we’re heading up North to the place — to my turf, OK?"
125,71,KASICH,(CHEERING)
126,72,KASICH," And, let me just tell you this, I will win Ohio, and I am going to move all across this country, and over time as people begin to finally hear my message — you know what people say, Bret, to me all the time?"
127,72,KASICH,Why don’t they give you any time on the debate stage? Why is that?(CHEERING)
128,73,KASICH," So now all of a sudden, I’m starting to get it, and what I want the people to know is, I know how to bring people together, Republicans and Democrats. I have successfully, both at the federal level and the state level brought economic growth, wage growth, and economic security to this country."
129,73,KASICH,"And I want to go back and do it again, and I’m going to keep talking about my message of bringing people together and motivating people in the neighborhoods that realize they don’t need somebody from Washington galloping in. There are many things they can do where they live, because the strength of our country is in our neighborhoods and our families. And I’m going to keep doing this."
130,73,KASICH,(APPLAUSE)
131,74,BAIER, Thank you.
132,75,WALLACE," Well, then, we want to focus now on the economy, which is one of the top issues on Facebook, with 6.6 million people discussing it online. A lot of that conversation is happening here in Detroit, where the unemployment rate is 10.9 percent. That’s more than double the national average."
133,75,WALLACE,"Senator Rubio, you have taken to calling Mr. Trump a con artist who portrays himself as a hero to working people while he’s really been, in your words, “sticking it” to the American workers for 40 years. But he has built a big company that employs thousands of people. Question. How many jobs have you created?"
134,76,RUBIO," Well, first of all, government doesn’t..."
135,76,RUBIO,(AUDIENCE BOOS)
136,76,RUBIO,"First of all, Chris, my point is exactly right. He has spent a career of convincing Americans that he’s something that he’s not in exchange for their money. Now he’s trying to do the same in exchange for their country. This is a fact. He talks about these great businesses that he’s built. He inherited over $100 million."
137,77,TRUMP, Wrong. Wrong.
138,78,RUBIO," And with that money, he lost more money than he made."
139,79,WALLACE," Mr. Trump, it’s not your turn. You’ll get your turn, sir."
140,79,WALLACE,(CROSSTALK)
141,80,RUBIO," He can start tonight by announcing that all the Donald Trump clothing will no longer be made in China and in Mexico, but will be made here in the United States."
142,80,RUBIO,(APPLAUSE)
143,80,RUBIO,"And on the issue of job creation, I find this interesting. The private sector creates jobs. The jobs of those of us in public service are to put in place policies that allow the economy to grow."
144,80,RUBIO,That’s the problem with the Democratic Party. They think government is what creates jobs. Government does not create jobs.
145,80,RUBIO,"Now, the way you create jobs is you make America the easiest and the best place in the world to start a business or to expand an existing business. If you go on my website, marcorubio.com, you will see a real plan to fix our taxes, to roll back regulations, to repeal and replace Obamacare, not just lines around the states. Serious policies and proposals."
146,81,WALLACE," Sir? Mr. Trump, I’d like you to respond. You have 30 seconds to respond. But as part of that, could you respond to his specific assertion about Trump Collection clothes, which you say some of it is made in Mexico?"
147,82,TRUMP, This little guy has lied so much...
148,83,RUBIO, Here we go.
149,84,TRUMP, ... about my record.
150,85,RUBIO, Here we go. It’s personal.
151,85,RUBIO,(AUDIENCE BOOS)
152,85,RUBIO,(CROSSTALK)
153,86,TRUMP, He has lied so much about my record.
154,87,WALLACE," Mr. Rubio — Senator Rubio, why don’t you let him finish?"
155,88,TRUMP," And I will tell you this. First of all, I got a call from my sister and brother tonight, and they said we had no idea Dad gave you $200 million. Believe me, I started off with $1 million. I built a company that’s worth more than $10 billion. And I say it not in a bragging way, but that’s the kind of thinking we need."
156,88,TRUMP,"Very low debt, tremendous cash flow. My financials are all — they’re all in there with the federal elections. You’ve seen them. Everybody has seen them. I say it only because that’s the kind of thinking this country needs with $19 trillion in debit. Believe me."
157,88,TRUMP,(APPLAUSE)
158,89,WALLACE," But wait one second. Specifically and quickly on the question, will you promise that you will — and how soon will you move your clothing collection, the clothes that are made in China and Mexico?"
159,90,TRUMP," They devalue their currencies. I will do that. And by the way, I have been doing it more and more. But they devalue their currencies, in particular China. Mexico is doing a big number now, also. Japan is unbelievable what they’re doing."
160,90,TRUMP,"They devalue their currencies, and they make it impossible for clothing-makers in this country to do clothing in this country. And if you look at what’s happened on Seventh Avenue, and you look at what’s happened in New York with the garment industry, so much of the clothing now comes out from Vietnam, China, and other places. And it’s all because of devaluation."
161,90,TRUMP,"By the way, the Trans-Pacific, if you look at the TPP, a total disaster, which, by the way, Marco is in favor of, they need — it is a disaster for our country. It’s trying to be approved by various people, including President Obama. And I’ll tell you something. The biggest problem with that is- They don’t take into concurrence the devaluation. They’re devaluing their currency."
162,91,WALLACE," Thank you. Thank you, Mr. Trump. Senator Rubio?"
163,92,TRUMP, And they’re killing — they’re going to...
164,92,TRUMP,(CROSSTALK)
165,93,WALLACE," Wait, wait, Senator Rubio."
166,94,RUBIO," The answer is, he’s not going to do it. And you know why? Because there are plenty of clothing makers in America."
167,94,RUBIO,(APPLAUSE)
168,94,RUBIO,(CROSSTALK)
169,95,RUBIO," If you go on my website, marcorubio.com, everything we have on there is made in America. The reason why he makes it in China or Mexico is because he can make more money on it. That’s why he’s doing it."
170,95,RUBIO,"And the second point, you see what happens, again, when you challenge him on a policy issue. You asked him about the economy, and the first thing he does is launch an attack about some little guy thing. Because he doesn’t have answers."
171,96,TRUMP," No, no. I have very good answers."
172,97,RUBIO, And he’s asking us to make him the president of the United States of America.
173,97,RUBIO,(CROSSTALK) (APPLAUSE)
174,98,RUBIO, This is not a game.
175,99,TRUMP, I know what’s happening with the economy. You don’t know a thing.
176,100,RUBIO," Well, then answer the economy question."
177,101,TRUMP, You haven’t employed in your life one person.
178,102,RUBIO, But he doesn’t answer the employment question.TRUMP: I have employed tens of thousands of people.
179,102,RUBIO,(CROSSTALK)
180,103,TRUMP, You haven’t employed one person.
181,104,RUBIO, You ever heard of Trump Steaks? You ever heard of Trump Vodka?
182,105,TRUMP," Oh, you know what? You know what? Take a look at Trump Steaks."
183,106,RUBIO, All of these companies he has ruined.
184,107,TRUMP," By the way, that’s the other thing..."
185,108,RUBIO, Trump Steaks is gone. You have ruined these companies.
186,109,TRUMP, Mitt Romney...
187,109,TRUMP,(CROSSTALK)
188,110,TRUMP," ... false, totally false. And now the funny thing is he didn’t talk about the hundreds of really successful jobs, the buildings all over the world that have made a fortune."
189,110,TRUMP,(CROSSTALK)
190,111,WALLACE," I have a policy question for you, sir."
191,112,RUBIO, Let’s see if he answers it.
192,113,TRUMP," I will. Don’t worry about it, Marco. Don’t worry about it. Don’t worry about it little Marco, I will."
193,114,RUBIO," All right, well, let’s hear it big Donald."
194,115,TRUMP," Don’t worry about it, little Marco."
195,115,TRUMP,(CROSSTALK)
196,116,WALLACE, Gentlemen. Gentlemen.
197,116,WALLACE,(CROSSTALK)
198,117,WALLACE, You have got to do better than this. TRUMP: This guy has a number one — the number one absentee record in the United States...
199,118,WALLACE," Mr. Trump, I would like to ask you a policy question."
200,119,TRUMP, He doesn’t show up to vote.
201,120,WALLACE, Your proposed tax cut...
202,121,TRUMP, That’s why the people in Florida do not like him.
203,122,WALLACE," Mr. Trump, your proposed tax cut would add $10 trillion to the nation’s debt over 10 years, even if the economy grows the way that you say it will. You insist that you could make up for a good deal of that, you say, by cutting waste, fraud, and abuse."
204,123,TRUMP, Correct.
205,124,WALLACE, Like what? And please be specific.
206,125,TRUMP, Department of Education. We’re cutting Common Core. We’re getting rid of Common Core. We’re bringing education locally. Department of Environmental Protection. We are going to get rid are of it in almost every form. We’re going to have little tidbits left but we’re going to take a tremendous amount out.
207,125,TRUMP,"We have various other things. If you look at the IRS, if you look at every single agency, we can cut it down, and I mean really cut it down and save. The waste, fraud, and abuse is massive."
208,125,TRUMP,"Larry Kudlow, great guy, everybody respects him, said my plan for taxes and tax cutting is the best by far of everybody."
209,126,WALLACE," But, Mr. Trump, Mr. Trump, your numbers don’t add up. Please put up full screen number four. The Education Department, you talk about cutting, the total budget for the education department is $78 billion."
210,126,WALLACE,"And that includes Pell grants for low-income students and aid to states for special education. I assume you wouldn’t cut those things. The entire budget for the EPA, the Environmental Protection Agency, $8 billion."
211,127,TRUMP, OK.
212,128,WALLACE," The deficit this year is $544 billion. That’s more than a half trillion dollars. Your numbers don’t add up, sir."
213,129,TRUMP," Let me explain something. Because of the fact that the pharmaceutical companies — because of the fact that the pharmaceutical companies are not mandated to bid properly, they have hundreds of billions of dollars in waste."
214,129,TRUMP,"We don’t bid properly. We don’t have proper bidding procedures. The reason we don’t is because they take care of all of the senators, all of the congressman, and they don’t bid. They don’t go out to bid. "
215,130,WALLACE, Mr. Trump...
216,131,TRUMP, Take a look — excuse me. You are talking about hundreds of billions of dollars...
217,132,WALLACE," No, you are not."
218,133,TRUMP, ... if we went out to the proper bid. Of course you are.
219,134,WALLACE," No, you’re not, sir. Let’s put up full screen number 2."
220,134,WALLACE,"You say that Medicare could save $300 billion a year negotiating lower drug prices. But Medicare total only spends $78 billion a year on drugs. Sir, that’s the facts. You are talking about saving more money on Medicare prescription drugs..."
221,135,TRUMP," I’m saying saving through negotiation throughout the economy, you will save $300 billion a year."
222,136,WALLACE, But that doesn’t really cut the federal deficit.
223,137,TRUMP, And that’s a huge — of course it is. We are going to buy things for less money. Of course it is. That works out...
224,138,WALLACE, That’s the only money that we buy — the only drugs that we pay for is through Medicare.
225,139,TRUMP," I’m not only talking about drugs, I’m talking about other things. We will save $300 billion a year if we properly negotiate. We don’t do that. We don’t negotiate. We don’t negotiate anything."
226,140,KASICH, Can I...
227,141,WALLACE," No. I promise I will get to you in a moment, sir."
228,141,WALLACE,"Senator Cruz, one of centerpieces of your campaign, in fact, you mentioned it again tonight, is that you will abolish the IRS. Question though, who will collect the taxes that you are still calling for? Who will oversee to make sure that people pay the taxes that they rightfully owe? And who will check on the various tax deductions and tax credits that you still want?"
229,142,CRUZ," So my simple flat tax I have rolled out in precise detail how it will operate where every American can fill out our taxes on a postcard. And if you want to actually see the postcard, see all the details, you can find them on our Web site. It’s tedcruz.org."
230,142,CRUZ,"When he we get rid of all the corporate welfare, all the subsidies, all the carve-outs in the IRS code, it dramatically simplifies it. And under Obama, the IRS has become so corrupt and so politicized we need to abolish it all together."
231,142,CRUZ,"Now, at the end of that there will still be an office in the Treasury Department to receive the postcards but it will be dramatically simpler. "
232,143,CRUZ," And let me take a moment, Chris, to go back to go back to this exchange that was going on."
233,143,CRUZ,"In between all of the insults, let me point out the specificity that was lacking. It’s very easy to say, “Let’s cut waste, fraud, and abuse.” I’ve rolled out a detailed plan to cut $500 billion in federal spending, specifying exactly what I would cut."
234,143,CRUZ,(APPLAUSE)
235,143,CRUZ,"It’s easy to say it, but one of the great disconnects to all the people, all of the voters, I understand the folks who are supporting Donald right now. You’re angry. You’re angry at Washington, and he uses angry rhetoric."
236,143,CRUZ,"But for 40 years, Donald has been part of the corruption in Washington that you’re angry about."
237,143,CRUZ,(APPLAUSE)
238,143,CRUZ,"And you’re not going to stop the corruption in Washington by supporting someone who has supported liberal Democrats for four decades, from Jimmy Carter to John Kerry to Hillary Clinton. You’re not going to stop the corruption and the cronyism by supporting someone who has used government power for private gain. Instead, we need a president who stands with the American people."
239,143,CRUZ,(APPLAUSE)
240,144,WALLACE," Governor Kasich, I promise I will get to you. But you do get 30 seconds to respond, Mr. Trump."
241,145,TRUMP," Well, all of a sudden, I hear for 40 years I’ve been involved in Washington. I have been supporting people for many years. And these people have been politicians, and they’ve been on both sides, Democrats, Republicans, liberals, conservatives. I’ve supported everybody, because, until recently, I wasn’t a politician, and I hope maybe you don’t all consider me a politician right now. I hate the term politician."
242,145,TRUMP,"But I’ve been supporting politicians. A recent article somewhere said Donald Trump is a world-class businessman who goes out and he does get along with everybody. I’ve supported Democrats, and I’ve supported Republicans. And as a businessman, I owed that to my company, to my family, to my workers, to everybody to get along."
243,145,TRUMP,"Part of the problem we have in Washington, Chris..."
244,146,WALLACE, Mr. Trump...
245,147,TRUMP, ... is it’s total gridlock. Nobody gets along. We need people to get along. We need to be able to get things done.
246,147,TRUMP,(APPLAUSE)
247,148,WALLACE," Governor Kasich, Democrats, as you know, will make income inequality a big issue in the general election. You support raising the minimum wage, although you say not to the $15 an hour that Democrats are talking about. Mr. Trump opposes any increase because he says it will price American workers out of the world market. Is he wrong about that? No increase in the minimum wage?"
248,149,KASICH," Well, well, wait a minute, first of all, I didn’t say I was for an increase in the federal minimum wage. I said in Ohio we increased it modestly every single year. So I’m not for a federal minimum wage increase."
249,150,WALLACE, But you did talk about states doing it.
250,151,KASICH," Well, states — if states want to do it, they ought to sit down with businesspeople and the lawmakers and figure out what will work. But hold on a second here with everything else."
251,151,KASICH,"I’m the only person on this stage who actually was the chief architect of balancing the federal budget. It’s not a theory for me. It’s not — it’s not some — you have to know how to put everything together. And you know, I spent 10 years of my life to get there, and I did not do that because I’m worshiping at some balanced budget shrine."
252,151,KASICH,"The reason I did it is when you have commonsense regulations, lower taxes on individuals and businesses, and you have a fiscal plan that makes sense, the job creators will expand employment. And what happened? When I was there, the jobs were exploding. Bill Clinton’s tried to take credit for it. When I went to Ohio, we’re up 400,000 jobs. It’s the same formula."
253,151,KASICH,"But it isn’t easy. I fought the entire Washington establishment and won, because when you balance a budget, you must affect every single thing. Everything in the federal government specifically. You cannot get there with theories or broad statements, and you have to be willing to take the heat. In fact, I fought a Republican president, who I thought was not offering constructive proposals to fix this economy."
254,151,KASICH,"So when we talk about all this, there’s one person on this stage and one person who’s been a candidate for president in either party that restored economic strength, growth, a balanced budget, paid down debt, cut taxes, the things that people in this country want. No theories. Reality."
255,151,KASICH,(APPLAUSE)
256,152,WALLACE," Thank you, Governor."
257,152,WALLACE,(APPLAUSE)
258,153,KELLY," All right. Let’s talk immigration for a little bit. Senator Cruz, let’s start with you. You have repeatedly touted how you have stood shoulder to shoulder with Senator Jeff Sessions to fight illegal immigration and amnesty. But Senator Sessions just endorsed Donald Trump. If voters want Jeff Sessions-style immigration policies, isn’t their choice rather clear?"
259,154,CRUZ," Yes, their choice is very clear. If you look to the actual record — you know, Donald mentioned a moment ago that he was just doing business when he was writing checks to liberal Democrats. But that’s not, in fact, the checks he was writing."
260,154,CRUZ,"Listen, we could all understand if you write a check to a city commission because you’re looking for a zoning waiver on building a building. That may be corrupt, but you could understand real estate developers doing that."
261,155,CRUZ," That’s not what Donald Trump did. Donald Trump supported Jimmy Carter over Ronald Reagan. Donald supported John Kerry over George W. Bush. If you don’t like Obamacare, Donald Trump funded Harry Reid and Nancy Pelosi taking over Congress to pass Obamacare."
262,155,CRUZ,"On immigration, if you don’t like amnesty, if you don’t like the Gang of Eight, Donald Trump funded five of the eight members of the Gang of Eight $50,000."
263,155,CRUZ,"And let’s talk about this election. The choice Republican primary voters are making is who is best prepared to stand up to Hillary Clinton and beat Hillary Clinton. Donald Trump has written checks to Hillary Clinton not once, not twice, not three times. Ten times. And four of those checks were not to her Senate campaign. It wasn’t that she was the New York senator and it was a cost of doing business. It was to her presidential campaign."
264,155,CRUZ,Donald Trump in 2008 wrote four checks to elect Hillary Clinton as president.
265,156,KELLY, OK.
266,157,CRUZ," So I’d like to ask Donald, why did you write checks to Hillary Clinton to be president in 2008? It wasn’t for business. And how can you stand on a debate stage now with her and say you don’t think she should be president?"
267,157,CRUZ,(APPLAUSE)
268,158,TRUMP," Actually, it was for business. It was. It was. It was for business. I pride myself, including outside of the United States. I’m doing almost 120 deals outside of the — which I hope to be able to stop very soon and let my children handle it — but we’re doing many, many deals outside of the United States."
