SentenceNo,SequenceNo,Speaker,Text,PolarityScore
45,13,KASICH,"By the way, I think I actually flew on this plane with Ronald Reagan when I was a congressman, and his goals, and mine, really much - are pretty much the same. Lift Americans, unify, give hope, grow America, and restore it is to that great, shining city on a hill.",0.13
46,13,KASICH,"Yes, he was a great one, and I learned much from watching him. The most important thing, hope to Americans, unify, lift everyone in America.",0.45
47,13,KASICH,(APPLAUSE),0.0
48,14,CHRISTIE,"Hi, my name is Chris Christie, and I'd like to you take the camera off me and put it on the audience because I'd like to ask all of you, how many of you, raise your hand, believe that in today's Barak Obama America your children will have a better life than you've had?",0.5
49,14,CHRISTIE,"You see? That's why I'm running for President. Because leadership is not about me, it's about our country. And, what we talk about tonight, it's not about us, it's about the people in the audience tonight, because in seven short years this president has stripped away their trust, and their faith, and their belief that the next generation will have a better life. He's stolen that from us, and when I'm president, I'm going to take it back.",0.16666666666666666
50,14,CHRISTIE,(APPLAUSE),0.0
51,15,TAPPER,"Thank you one and all for being here. There are many important policy issues facing our nation. We're going to get to many of them tonight, but I do want to start off with some current events in the news, and also some of the comments the candidates have recently made on the campaign trail.",0.16666666666666666
52,16,TAPPER,"Mrs. Fiorina, I want to start with you. Fellow Republican candidate, and Louisiana Governor Bobby Jindal, has suggested that your party's frontrunner, Mr. Donald Trump, would be dangerous as President. He said he wouldn't want, quote, ""such a hot head with his finger on the nuclear codes.""",-0.6
53,16,TAPPER,"You, as well, have raised concerns about Mr. Trump's temperament.",0.0
54,16,TAPPER,You've dismissed him as an entertainer. Would you feel comfortable with Donald Trump's finger on the nuclear codes?,0.4
55,17,FIORINA,"You know, I think Mr. Trump is a wonderful entertainer. He's been terrific at that business.",1.0
56,17,FIORINA,"I also think that one of the benefits of a presidential campaign is the character and capability, judgment and temperament of every single one of us is revealed over time and under pressure. All of us will be revealed over time and under pressure. I look forward to a long race.",-0.07142857142857142
57,18,TAPPER,You didn't answer my question. Would you feel comfortable with Donald Trump's finger on the nuclear codes? It's an issue that one of your fellow candidates has raised.,0.4
58,19,FIORINA,"That's not for me to answer; it is for the voters of this country to answer, and I have a lot of faith in the common sense and good judgment of the voters of the United States of America.",0.19999999999999998
59,20,TAPPER,Mr. Trump?,0.0
60,20,TAPPER,(APPLAUSE),0.0
61,21,TRUMP,"Well, first of all, Rand Paul shouldn't even be on this stage. He's number 11, he's got 1 percent in the polls, and how he got up here, there's far too many people anyway.",0.3
62,21,TRUMP,"As far as temperament - and we all know that - as far as temperament, I think I have a great temperament. I built a phenomenal business with incredible, iconic assets, one of the really truly great real-estate businesses.",0.5800000000000001
63,21,TRUMP,"And I may be an entertainer, because I've had tremendous success with number-one bestsellers all over the place, with ""The Apprentice"" and everything else I've done.",0.31666666666666665
64,21,TRUMP,"But I will tell you this What I am far and away greater than an entertainer is a businessman, and that's the kind of mindset this country needs to bring it back, because we owe $19 trillion right now, $19 trillion, and you need this kind of thinking to bring our country back.",0.2979591836734694
65,21,TRUMP,"And believe me, my temperament is very good, very calm. But we will be respected outside of this country. We are not respected now.",0.65
66,21,TRUMP,(APPLAUSE),0.0
67,22,TAPPER,"Mr. - Senator Paul, your name has been invoked.",0.0
68,23,PAUL,"I kind of have to laugh when I think of, ""Mmm, sounds like a non sequitur."" He was asked whether or not he would be capable and it would be in good hands to be in charge of the nuclear weapons, and all of a sudden, there's a sideways attack at me.",0.3
69,23,PAUL,"I think that really goes to really the judgment. Do we want someone with that kind of character, that kind of careless language to be negotiating with Putin? Do we want someone like that to be negotiating with Iran?",0.2333333333333333
70,23,PAUL,"I think really there's a sophomoric quality that is entertaining about Mr. Trump, but I am worried. I'm very concerned about him - having him in charge of the nuclear weapons, because I think his response, his - his visceral response to attack people on their appearance - short, tall, fat, ugly - my goodness, that happened in junior high. Are we not way above that? Would we not all be worried to have someone like that in charge of the nuclear arsenal?",-0.08499999999999999
71,24,TAPPER,Mr. Trump?,0.0
72,24,TAPPER,(APPLAUSE),0.0
73,25,TRUMP,"I never attacked him on his look, and believe me, there's plenty of subject matter right there.",0.05952380952380952
74,25,TRUMP,(LAUGHTER),0.0
75,25,TRUMP,That I can tell you.,0.0
76,26,WALKER,"But Jake, Jake, Jake, Jake...",0.0
77,27,TAPPER,I want to - I want to give Mr. Trump...,0.0
78,28,WALKER,"But Jake, this - this is - this...",0.0
79,29,TAPPER,"... Mr. Trump, I want to give you another chance - Mr. Trump, I want to give you a chance to respond to something that your rival to your left, Governor Bush, said.",0.0
80,29,TAPPER,Governor Bush told me last week when I read him the quote from Governor Jindal that he agrees you're not a serious candidate.,0.08333333333333333
81,29,TAPPER,Tell Governor Bush why you are a serious candidate and what your qualifications are to be commander-in-chief. ,-0.3333333333333333
82,30,TRUMP,"I've actually been in politics all my life, although I've been on that side as opposed to this side. I'm now a politician for about three months. Obviously, I'm doing pretty well. I'm number one in every polls (sic) by a lot.",0.0
83,30,TRUMP,"But the qualification is that I've dealt with people all over the world, been successful all over the world. Everything I've done virtually has been a tremendous success.",0.75
84,30,TRUMP,"When markets changed, when things turned, I heard Governor Pataki, who, by the way, was a failed governor in New York, a very seriously failed - he wouldn't be elected dog catcher right now. I heard what he had to say.",-0.1444805194805195
85,30,TRUMP,"And I will tell you this Atlantic City, I've made a tremendous amount of money in Atlantic City. I left seven years ago, I've gotten great credit for my timing, and that's what I'm all about.",0.3333333333333333
86,30,TRUMP,"I'm a businessman, did really well, really well, and Jeb, what I want to do is put that ability into this country to make our country rich again. And I can do that, and I'm not sure that anybody else in the group will be able to do that.",0.25833333333333336
87,31,TAPPER,"Governor Bush, would you feel comfortable with Donald Trump's finger on the nuclear codes?",0.4
88,32,BUSH,I think the voters will make that determination.,0.0
89,32,BUSH,"But what I know to be true is that the next president of the United States is going to have to fix an extraordinary difficult situation. This administration, with President Obama and Hillary Clinton, has created insecurity the likes of which we never would've imagined. There's not a place in the world where we're better off today than six and a half years ago.",0.04583333333333334
90,32,BUSH,And that requires a steadiness. That requires an understanding of how the world works. That requires an understanding and appreciation of American leadership in the world.,0.0
91,32,BUSH,"You can't just, you know, talk about this stuff and insult leaders around the world and expect a good result. You have to do this with a steady hand, and I believe I have those skills.",0.7
92,32,BUSH,"WALKER Jake, this is - this is - this is...",0.0
93,33,TRUMP,But I have to say...,0.0
94,33,TRUMP,WALKER This is actually what's wrong - this is what's wrong with this debate. We're not talking about real issues.,-0.3333333333333333
95,33,TRUMP,"And Mr. Trump, we don't need an apprentice in the White House.",0.0
96,33,TRUMP,(APPLAUSE),0.0
97,33,TRUMP,We don't need an apprentice in the White House. We have one right now. He told us all the things we wanted to hear back in 2008. We don't know who you are or where you're going. We need someone who can actually get the job done.,0.0
98,33,TRUMP,And you talked about business.,0.0
99,34,TRUMP,"Well, in Wisconsin...",0.0
100,34,TRUMP,WALKER You - you - let me finish...,0.0
101,35,TRUMP,Excuse me.,-0.05
102,35,TRUMP,"WALKER No, no...",0.0
103,36,TRUMP,"In Wisconsin, you're losing $2.2 billion right now.",0.2857142857142857
104,36,TRUMP,WALKER You're using the talking...,0.0
105,37,TRUMP,I would do so much better than that.,0.5
106,37,TRUMP,"WALKER Mr. Trump, you're using the talking points of the Democrats...",0.0
107,38,TRUMP,No.,0.0
108,38,TRUMP,WALKER ... and as we all know...,0.0
109,39,TRUMP,I'm using facts.,0.0
110,39,TRUMP,"WALKER ... that failed three times in four and a half years when I got elected, because it is working. We balanced a budget.",-0.3333333333333333
111,39,TRUMP,You want to talk about balanced budgets? You took four major projects into bankruptcy over and over and over again. You can't take America into bankruptcy. That's what's wrong with the politicians in Washington right now. They think we can take a country into bankruptcy.,0.0625
112,39,TRUMP,(CROSSTALK),0.0
113,40,TRUMP,"Every major business leader, has used the - I never went bank bankrupt, by the way, as you know, everybody knows. But - hundreds of companies, hundreds of deals, I used the law four times and made a tremendous thing. I'm in business. I did a very good job.",0.0625
114,40,TRUMP,"But I will say this, and people are very, very impressed with what I've done, the business people. But when the folks of Iowa found out the true facts of the job that you've done in Wisconsin, all of a sudden you, tubed (ph), he was No. 1 and now he's No. 6 or seven in the polls.",0.175
115,40,TRUMP,"So, look, we brought it out, you were supposed to make a billion dollars in the state. You lost 2.2 - you have right now, a huge budget deficit. That's not a Democratic point. That's a point. That's a fact. And when the people of Iowa found that out, I went to No. 1 and you went down the tubes.",0.0
116,41,TAPPER,Governor Walker?,0.0
117,42,WALKER,"Jake, yeah, absolutely, I'll take this on, because this is an issue that's important in this race.",0.30000000000000004
118,42,WALKER,Just because he says it doesn't make it true. The facts are the facts.,0.35
119,42,WALKER,(APPLAUSE),0.0
120,42,WALKER,"We balanced a $3.6 billion budget deficit, we did it by cutting taxes - $4.7 billion to help working families, family farmers, small business owners and senior citizens. And it's about time people in America stand up and take note of this.",-0.425
121,42,WALKER,"If you want someone that can actually take on the special interest of Washington, which you yourself said you were part of, using the system, we need somebody that will stand up and fight for average Americans to put them back in charge of their government.",0.05178571428571429
122,42,WALKER,I'm the one who is taking that on. I'll do that as your next president.,0.0
123,43,TAPPER,Let's move on.,0.0
124,43,TAPPER,(APPLAUSE),0.0
125,44,KASICH,"Jake, Jake.",0.0
126,45,TAPPER,A phenomenon going on in the race right now is the political...,0.14285714285714285
127,45,TAPPER,"OK, Governor Kasich, go ahead.",0.5
128,46,KASICH,"Listen, you know, I - if I were sitting at home and watch thing back and forth, I would be inclined to turn it off. I mean, people at home want to know across this country, they want to know what we're going to do to fix this place, how we'll balance a budget, how we're going to create more economic growth, how we'll pay down the debt. What we're going to do to strengthen the military.",0.057986111111111106
129,46,KASICH,"So, we just spent 10 minutes here...",-0.1
130,47,TAPPER,"We have a lot of issues coming up, sir.",0.0
131,48,KASICH,"But - but wait a minute. It's a lot of ad hogshead. Now, I know that it may be buzzing out there, but I think it's important we get to the issues, because that's what people want, and they don't want all this fighting.",0.4
132,49,TAPPER,"We are getting to the issues, sir.",0.0
133,49,TAPPER,(APPLAUSE),0.0
134,50,TAPPER,"Phenomenon going on in the race is the political outsiders in the race, Dr. Carson, Donald Trump, Carly Fiorina, all together, have majority support in the polls.",0.0
135,50,TAPPER,"Governor Christie, I want to ask you about something that Dr. Carson said the other day.",-0.125
136,50,TAPPER,"Dr. Carson said campaigning is easier for him, because he's not a politician. He can just tell the truth, therefore, while politicians, quote, ""Have their finger in the air to see and do what is politically expedient.""",0.0
137,50,TAPPER,"Governor Christie, tell Dr. Carson, is that a fair description of you?",0.7
138,51,CHRISTIE,"Well, I know Ben wasn't talking about me, I'm sure he was talking about one of the other guys, not me.",0.1875
139,51,CHRISTIE,(LAUGHTER),0.0
140,51,CHRISTIE,"As far as being an outsider is concerned - as far as being an outsider is concerned, let me tell you this, Jake, I'm a Republican in New Jersey. I wake up every morning as an outsider. I wake up every morning with a Democratic legislature who trying to beat my head in and fight me because I'm trying to bring conservative change to a state that needed it desperately.",-0.6
141,51,CHRISTIE,"And so, everyone can talk us here about their credentials. But the bottom line is, every morning I get up, I veto 400 bills from a crazy liberal Democratic legislature, not one of them has been overridden. I've vetoed more tax increases than any governor in American history, according to Americans for Tax Reform.",-0.6
142,51,CHRISTIE,What folks want in this country is somebody to go down there and get the job done. And that's exactly what I'll do.,-0.15555555555555559
143,51,CHRISTIE,"So, I know this much, that what the American people want to hire right now is somebody who believes in them. And believes that they are the ones who can fix our country. I will be the vessel through which they can fix this country, but it's not about me.",0.1619047619047619
144,51,CHRISTIE,"It's about all of you. And getting this government off your back and out of your way, and letting you succeed. I know Ben wasn't talking about me.",0.0
145,52,TAPPER,"Well, let's find out. Thank you.",0.0
146,53,CHRISTIE,"Look at him smiling at me right now. I know Ben didn't mean it about me. One of these other guys, I'm sure.",0.2857142857142857
147,54,TAPPER,"Thank you, Governor Christie.",0.0
148,54,TAPPER,"Dr. Carson, who were you thinking about on this stage when you said that?",0.0
149,55,CHRISTIE,"Be honest, Ben, be honest.",0.6
150,56,TAPPER,"And more broadly, is experience in government not important for a president to have?",0.12083333333333333
151,57,CARSON,"Typically, politicians do things that are politically expedient. And they are looking for whatever their particular goal is.",-0.08333333333333333
152,57,CARSON,"That is not the reason that I have gotten into this thing. I'm extraordinary concerned about the direction of this country, the divisiveness that is going on, fiscal irresponsibility, the failure to take a leadership position in the world.",0.008333333333333304
153,57,CARSON,"All of those things will lead to a situation where the next generation will not have a chance that we've had now. So I don't - I don't want to really get into describing who's a politician and who's not a politician, but I think the people have kind of made that decision for themselves already, and will continue to do so as time goes on.",0.4
154,58,TAPPER,"Thank you, Dr. Carson.",0.0
155,59,CHRISTIE,"See, Jake, it wasn't me.",0.0
156,59,CHRISTIE,(LAUGHTER),0.0
157,60,FIORINA,"Jake, I'll tell you - I'll tell you why people are supporting outsiders. It's because you know what happens if someone's been in the system their whole life, they don't know how broken the system is. A fish swims in water, it doesn't know it's water. It's not that politicians are bad people, it's that they've been in that system forever.",-0.1
158,60,FIORINA,"The truth is 75 percent of the American people think the government is corrupt; 82 percent of the American people think these problems that have festered for 50 years in some cases, 25 years in other cases. The border's been insecure for 25 years; 307,000 veterans have died waiting for health care. These things have gone on for so long because no one will challenge the status quo.",-0.15625
159,60,FIORINA,"You know what a leader does? They challenge the status quo, they solve problems that have festered for a long time and they produce results. That is what my whole life has been about. People know this is about far more than replacing a D with an R -",-0.05
160,61,TAPPER,Thank you.,0.0
161,62,FIORINA,- this is about changing the system.,0.0
162,63,TAPPER,Thank you. Thank you Ms. Fiorina.,0.0
163,63,TAPPER,(APPLAUSE),0.0
164,63,TAPPER,"Governor Bush, in addition to the fact that he's an outsider, one of the reasons Mr. Trump is a frontrunner, Republican voters say, is because they like the fact that he is not bought and paid for by wealthy donors. Mr. Trump has repeatedly said that the $100 million you've raised for your campaign makes you a puppet for your donors. Are you?",0.5
165,64,BUSH,"No. Absolutely not. People are supporting me because I have a proven record of conservative leadership where I cut taxes $19 billion over eight years. We shrunk the state government workforce, we created a climate that led the nation in job growth seven out of eight years. We were one of two states to go to AAA bond rating. People know that we need principle-centered leadership, a disrupter to go to Washington, D.C. The one guy that had some special interests that I know of that tried to get me to change my views on something - that was generous and gave me money - was Donald Trump. He wanted casino gambling in Florida -",0.35714285714285715
166,65,TRUMP,I didn't -,0.0
167,66,BUSH,Yes you did.,0.0
168,67,TRUMP,Totally false.,-0.4000000000000001
169,68,BUSH,You wanted it and you didn't get it because I was opposed to -,0.0
170,69,TRUMP,I would have gotten it.,0.0
171,70,BUSH,- casino gambling before -,0.0
172,71,TRUMP,I promise I would have gotten it.,0.0
173,72,BUSH,during and after. And that's not - I'm not going to be bought by anybody.,0.0
174,73,TRUMP,"I promise if I wanted it, I would have gotten it.",0.0
175,74,BUSH,No way. Believe me.,0.0
176,75,TRUMP,I know my people.,0.0
177,76,BUSH,Not even possible.,0.0
178,77,TRUMP,I know my people.,0.0
179,78,TAPPER,Is there anything else you want to say about this?,0.0
180,79,TRUMP,"No. I just will tell you that, you know, Jeb made the statement. I'm not only referring to him. I - a lot of money was raised by a lot of different people that are standing up here. And the donors, the special interests, the lobbyists have very strong power over these people.",0.4602380952380952
181,79,TRUMP,"I'm spending all of my money, I'm not spending - I'm not getting any - I turned down - I turn down so much, I could have right now from special interests and donors, I could have double and triple what he's got. I've turned it down. I turned down last week $5 million from somebody.",0.0886243386243386
182,79,TRUMP,"So I will tell you I understand the game, I've been on the other side all of my life. And they have a lot of control over our politicians. And I don't say that favorably, and I'm not sure if there's another system, but I say this. I am not accepting any money from anybody. Nobody has control of me other than the people of this country. I'm going to do the right thing.",-0.25
183,80,TAPPER,"Governor - BUSH: You've got, according to your - to what you said on one of the talk shows, you got Hillary Clinton to go to your wedding -",0.0
184,81,TRUMP,That's true. That's true.,0.35
185,82,BUSH,- because you gave her money. Maybe it works for Hillary Clinton -,0.0
186,83,TRUMP,"I was - excuse me, Jeb.",-0.05
187,84,BUSH,- it doesn't work for anybody on this - on stage.,0.0
188,85,TRUMP,"I was a businessman, I got along with Clinton, I got along with everybody. That was my job, to get along with people.",0.0
189,86,BUSH,But the simple fact is -,0.0
190,87,TRUMP,I didn't want to - excuse me. One second.,-0.05
191,88,BUSH,"No. The simple fact is, Donald, you could not take -",0.0
192,89,TRUMP,"OK, more energy tonight. I like that.",0.5
193,89,TRUMP,(LAUGHTER),0.0
194,89,TRUMP,Look -,0.0
195,90,BUSH,I was asked the question.,0.0
196,91,TRUMP,"I didn't want - it was my obligation as a businessman to my family, to my company, to my employees, to get along with all politicians. I get along with all of them, and I did a damn good job in doing it. Go ahead.",0.0
197,92,BUSH,"So he supports Pelosi, he supports Schumer, he supports Clinton -",0.0
198,93,TRUMP,Got along with everybody.,0.0
199,94,BUSH,"When he - and he - when he asked - when he asked Florida to have casino gambling, we said no.",0.0
200,95,TRUMP,Wrong.,-0.5
201,96,BUSH,We said no. And that's the simple fact. The simple fact is -,0.0
202,97,TRUMP,"Don't make things up. Jeb, don't make things up. Come on.",0.0
203,98,BUSH,Don't cut me off.,0.0
204,99,TRUMP,Don't make things up.,0.0
205,100,CARSON,"Jake, can I say something about that?",0.0
206,101,TAPPER,Sure Dr. Carson.,0.5
207,102,CARSON,"You know, when I entered this race, all the political pundits said it's impossible; you can't do it because you're not connected with the money. And there's no way that you can raise what you need in order to compete successfully.",-0.3333333333333333
208,102,CARSON,"I in no way am willing to get in the bed with special interest group or lick the boots of billionaires. I have said to the people if they want me to do this, please get involved. And we now have over 500,000 donations, and the money is coming in.",0.3035714285714286
209,102,CARSON,"But the pundits forgot about one thing, and that is the people. And they are really in charge.",0.0
210,103,TAPPER,"Thank you, Dr. Carson. Let's move to Russia if we could.",0.0
211,103,TAPPER,"Russia is sending troops and tanks into Syria right now to prop up a U.S. enemy, Bashar al-Assad. President Obama's incoming top general says, quote, ""Russia presents the greatest threat to our national security.""",0.5166666666666667
212,103,TAPPER,"Mr. Trump, you say you can do business with President Vladimir Putin, you say you will get along, quote, ""very well."" What would you do right now if you were president, to get the Russians out of Syria?",0.2
213,104,TRUMP,"So, number one, they have to respect you. He has absolutely no respect for President Obama. Zero.",-0.1
214,104,TRUMP,"Syria's a mess. You look at what's going on with ISIS in there, now think of this we're fighting ISIS. ISIS wants to fight Syria. Why are we fighting ISIS in Syria? Let them fight each other and pick up the remnants.",0.0
215,104,TRUMP,"I would talk to him. I would get along with him. I believe - and I may be wrong, in which case I'd probably have to take a different path, but I would get along with a lot of the world leaders that this country is not getting along with.",-0.25
216,104,TRUMP,"We don't get along with China. We don't get along with the heads of Mexico. We don't get along with anybody, and yet, at the same time, they rip us left and right. They take advantage of us economically and every other way. We get along with nobody.",0.09523809523809523
217,104,TRUMP,"I will get along - I think - with Putin, and I will get along with others, and we will have a much more stable - stable world.",0.5
218,105,TAPPER,"So, you - just to clarify, the only answer I heard to the question I asked is that you would - you would reach out to Vladimir Putin, and you would do what? You would...",0.0
219,106,TRUMP,"I believe that I will get along - we will do - between that, Ukraine, all of the other problems, we won't have the kind of problems that our country has right now with Russia and many other nations. TAPPER: Senator Rubio, you've taken a very different approach to the - the question of Russia. You've called Vladimir Putin a, quote, ""gangster.""",0.22714285714285715
220,106,TRUMP,Why would President Rubio's approach be more effective than President Trump's?,0.55
221,107,RUBIO,"Well, first of all, I have an understanding of exactly what it is Russia and Putin are doing, and it's pretty straightforward. He wants to reposition Russia, once again, as a geopolitical force.",0.28125
222,107,RUBIO,"He himself said that the destruction of the Soviet Union - the fall of the Soviet Union was the greatest geopolitical catastrophe of the 20th century, and now he's trying to reverse that.",0.5
223,107,RUBIO,He's trying to destroy NATO. And this is what this is a part of. He is exploiting a vacuum that this administration has left in the Middle East.,-0.002777777777777778
224,107,RUBIO,"Here's what you're going to see in the next few weeks the Russians will begin to fly - fly combat missions in that region, not just targeting ISIS, but in order to prop up Assad.",0.35000000000000003
225,107,RUBIO,"He will also, then, turn to other countries in the region and say, ""America is no longer a reliable ally, Egypt. America is no longer a reliable ally, Saudi Arabia. Begin to rely on us.""",-0.125
226,107,RUBIO,"What he is doing is he is trying to replace us as the single most important power broker in the Middle East, and this president is allowing it. That is what is happening in the Middle East. That's what's happening with Russia, and...",0.20714285714285716
227,108,TAPPER,"Thank you, Senator Rubio.",0.0
228,108,TAPPER,(CROSSTALK),0.0
229,109,TAPPER,I want to bring in Carly Fiorina.,0.0
230,109,TAPPER,(APPLAUSE),0.0
231,110,FIORINA,Having...,0.0
232,111,TAPPER,"Ms. Fiorina, you have met...",0.0
233,112,FIORINA,"Having met Vladimir Putin, if I may...",0.0
234,113,TAPPER,"...yeah, you've met Vladimir Putin. Yes.",0.0
235,114,FIORINA,"Having met Vladimir Putin, I wouldn't talk to him at all. We've talked way too much to him.",0.0
236,114,FIORINA,"What I would do, immediately, is begin rebuilding the Sixth Fleet, I would begin rebuilding the missile defense program in Poland, I would conduct regular, aggressive military exercises in the Baltic states. I'd probably send a few thousand more troops into Germany. Vladimir Putin would get the message. By the way, the reason it is so critically important that every one of us know General Suleimani's name is because Russia is in Syria right now, because the head of the Quds force traveled to Russia and talked Vladimir Putin into aligning themselves with Iran and Syria to prop up Bashar al- Assad.",0.24523809523809526
237,114,FIORINA,"Russia is a bad actor, but Vladimir Putin is someone we should not talk to, because the only way he will stop is to sense strength and resolve on the other side, and we have all of that within our control.",-0.27499999999999997
238,114,FIORINA,"We could rebuild the Sixth Fleet. I will. We haven't. We could rebuild the missile defense program. We haven't. I will. We could also, to Senator Rubio's point, give the Egyptians what they've asked for, which is intelligence.",0.0
239,114,FIORINA,We could give the Jordanians what they've asked for...,0.0
240,115,TAPPER,"Thank you, Ms. Fiorina.",0.0
241,116,FIORINA,...bombs and material. We have not supplied it...,0.0
242,117,TAPPER,Thank you.,0.0
243,118,FIORINA,...I will. We could arm the Kurds. They've been asking us for three years. All of this is within our control.,0.0
244,118,FIORINA,(APPLAUSE),0.0
