SentenceNo,SequenceNo,Speaker,Text,PolarityScore
127,45,CRUZ,".... that we have $18 trillion in debt. Because as conservatives, as Republicans, we keep winning elections. We got a Republican House, we've got a Republican Senate, and we don't have leaders who honor their commitments. I will always tell the truth and do what I said I would do.",0.0
128,45,CRUZ,(APPLAUSE),0.0
129,46,BAIER,"Governor Christie, you're not exactly the darling of conservatives. You tout your record as a Republican governor in a blue state. On Facebook, the most people talking about you, not surprisingly, come from your state of New Jersey, and one of the top issues they are talking about is the economy.",0.1965909090909091
130,46,BAIER,"This -- this may be why. Under your watch, New Jersey has undergone nine credit rating downgrades. The state's 44th in private sector growth. You face an employee pension crisis and the Garden State has the third highest foreclosure rate in the country. So why should voters believe that your management of the country's finances would be any different?",0.0
131,47,CHRISTIE,"If you think it's bad now, you should've seen it when I got there.",-0.6999999999999998
132,47,CHRISTIE,(LAUGHTER),0.0
133,47,CHRISTIE,(APPLAUSE),0.0
134,47,CHRISTIE,"The fact is -- the fact is, in the eight years before I became governor, taxes and fees were raised at the state level 115 times. In the eight years before I became governor, spending was increased 56 percent. And in the eight years before I become governor, taxes and fees were raised at the state level 115 times.",0.0
135,47,CHRISTIE,"In the eight years before I became Governor, spending was increased 56 percent, and in the eight years before I became governor, there was zero net private sector job growth in New Jersey. Zero. For eight years.",0.04545454545454545
136,47,CHRISTIE,"So, what did we do? We came in, we balanced an $11 billion deficit on a $29 billion budget by cutting over 800 programs in the state budget. We brought the budget into balance with no tax increases. In fact, we vetoed five income tax increases during my time as governor. We cut business taxes $2.3 billion, and we cut regulation by one-third of what my predecessor put in place.",-0.6
137,47,CHRISTIE,"And, what's happened since? A hundred ninety-two thousand private sector jobs in the five and a half years I've been governor. We have a lot of work to do in New Jersey, but I am darn proud we've brought our state back.",-0.08333333333333333
138,47,CHRISTIE,(APPLAUSE),0.0
139,48,KELLY,"Governor Walker, you've consistently said that you want to make abortion illegal even in cases of rape, incest, or to save the life of the mother. You recently signed an abortion law in Wisconsin that does have an exception for the mother's life, but you're on the record as having objected to it. Would you really let a mother die rather than have an abortion, and with 83 percent of the American public in favor of a life exception, are you too out of the mainstream on this issue to win the general election?",0.21000000000000002
140,49,WALKER,"Well, I'm pro-life, I've always been pro-life, and I've got a position that I think is consistent with many Americans out there in that...",0.375
141,49,WALKER,(APPLAUSE) ,0.0
142,50,WALKER,"...in that I believe that that is an unborn child that's in need of protection out there, and I've said many a time that that unborn child can be protected, and there are many other alternatives that can also protect the life of that mother. That's been consistently proven.",0.2916666666666667
143,50,WALKER,"Unlike Hillary Clinton, who has a radical position in terms of support for Planned Parenthood, I defunded Planned Parenthood more than four years ago, long before any of these videos came out...",0.225
144,50,WALKER,(APPLAUSE),0.0
145,51,WALKER,...I've got a position that's in line with everyday America.,-0.2
146,51,WALKER,(APPLAUSE),0.0
147,52,WALLACE,"Governor Huckabee, like Governor Walker, you have staked out strong positions on social issues. You favor a constitutional amendment banning same sex marriage. You favor a constitutional amendment banning abortions, except for the life of the mother. Millions of people in this country agree with you, but according to the polls, and again this an electability question, according to the polls, more people don't, so how do you persuade enough Independents and Democrats to get elected in 2016?",0.25
148,53,HUCKABEE,"Chris, I disagree with the idea that the real issue is a constitutional amendment. That's a long and difficult process. I've actually taken the position that's bolder than that.",0.2
149,53,HUCKABEE,"A lot of people are talking about defunding planned parenthood, as if that's a huge game changer. I think it's time to do something even more bold. I think the next president ought to invoke the Fifth, and Fourteenth Amendments to the constitution now that we clearly know that that baby inside the mother's womb is a person at the moment of conception.",0.05000000000000001
150,53,HUCKABEE,"The reason we know that it is is because of the DNA schedule that we now have clear scientific evidence on. And, this notion that we just continue to ignore the personhood of the individual is a violation of that unborn child's Fifth and 14th Amendment rights for due process and equal protection under the law.",-0.041666666666666664
151,53,HUCKABEE,"It's time that we recognize the Supreme Court is not the supreme being, and we change the policy to be pro-life and protect children instead of rip up their body parts and sell them like they're parts to a Buick.",0.0
152,53,HUCKABEE,(APPLAUSE),0.0
153,54,BAIER,"Senator Paul, you recently blamed the rise of ISIS on Republican hawks. You later said that that statement, you could have said it better. But, the statement went on, and you said, quote, ""Everything they've talked about in foreign policy, they've been wrong for the last 20 years.""",-0.20833333333333334
154,54,BAIER,Why are you so quick to blame your own party?,0.4666666666666667
155,55,PAUL,"First of all, only ISIS is responsible for the terrorism. Only ISIS is responsible for the depravity. But, we do have to examine, how are we going to defeat ISIS?",0.0
156,55,PAUL,I've got a proposal. I'm the leading voice in America for not arming the allies of ISIS.,0.0
157,55,PAUL,(APPLAUSE),0.0
158,56,PAUL,"I've been fighting amidst a lot of opposition from both Hillary Clinton, as well as some Republicans who wanted to send arms to the allies of ISIS. ISIS rides around in a billion dollars worth of U.S. Humvees. It's a disgrace. We've got to stop -- we shouldn't fund our enemies, for goodness sakes.",0.0
159,57,PAUL,"So, we didn't create ISIS -- ISIS created themselves, but we will stop them, and one of the ways we stop them is by not funding them, and not arming them.",0.0
160,57,PAUL,(APPLAUSE),0.0
161,58,KELLY,"Governor Kasich, You chose to expand Medicaid in your state, unlike several other governors on this stage tonight, and it is already over budget by some estimates costing taxpayers an additional $1.4 billion in just the first 18 months. You defended your Medicaid expansion by invoking God, saying to skeptics that when they arrive in heaven, Saint Peter isn't going to ask them how small they've kept government, but what they have done for the poor. Why should Republican voters, who generally want to shrink government, believe that you won't use your Saint Peter rationale to expand every government program? KASICH: Well, first of all... (APPLAUSE) KASICH: -- first of all, Megyn, you should know that -- that President Reagan expanded Medicaid three or four times. Secondly, I had an opportunity to bring resources back to Ohio to do what? To treat the mentally ill. Ten thousand of them sit in our prisons. It costs $22,500 a year... (APPLAUSE) KASICH: -- to keep them in prison. I'd rather get them their medication so they could lead a decent life. Secondly, we are rehabbing the drug-addicted. Eighty percent of the people in our prisons have addictions or problems. We now treat them in the prisons, release them in the community and the recidivism rate is 10 percent and everybody across this country knows that the tsunami of drugs is -- is threatening their very families.",0.041666666666666664
162,58,KELLY,"So we're treating them and getting them on their feet. And, finally, the working poor, instead of them having come into the emergency rooms where it costs more, where they're sicker and we end up paying, we brought a program in here to make sure that people could get on their feet. And do you know what? Everybody has a right to their God-given purpose. And finally, our Medicaid is growing at one of the lowest rates in the country. And, finally, we went from $8 billion in the hole to $2 billion in the black. We've cut $5 billion in taxes... ",0.15
163,58,KELLY,(BUZZER NOISE) ,0.0
164,59,KASICH,"-- and we've grown 350,000 jobs. ",0.0
165,59,KASICH,(APPLAUSE) ,0.0
166,60,WALLACE,"Gentlemen, we're turning to a new subject that all of you have been talking about and some of you have been disagreeing about, and that is the issue of immigration. Governor Bush, you released a new plan this week on illegal immigration focusing on enforcement, which some suggest is your effort to show that you're not soft on that issue. I want to ask you about a statement that you made last year about illegal immigrants. And here's what you said. ""They broke the law, but it's not a felony, it's an act of love. It's an act of commitment to your family."" Do you stand by that statement and do you stand by your support for earned legal status? BUSH: I do. I believe that the great majority of people coming here illegally have no other option. They want to provide for their family. But we need to control our border. It's not -- it's our responsibility to pick and choose who comes in. So I -- I've written a book about this and yet this week, I did come up with a comprehensive strategy that -- that really mirrored what we said in the book, which is that we need to deal with E-Verify, we need to deal with people that come with a legal visa and overstay. We need to be much more strategic on how we deal with border enforcement, border security. We need to eliminate the sanctuary cities in this country. It is ridiculous and tragic... (APPLAUSE) BUSH: -- that people are dying because of the fact that -- that local governments are not following the federal law. There's much to do. And I think rather than talking about this as a wedge issue, which Barack Obama has done now for six long years, the next president -- and I hope to be that president -- will fix this once and for all so that we can turn this into a driver for high sustained economic growth. And there should be a path to earned legal status... (BUZZER NOISE) BUSH: -- for those that are here. Not -- not amnesty, earned legal status, which means you pay a fine and do many things over an extended period of time. ",0.0775
167,61,WALLACE,"Thank you, sir. ",0.0
168,61,WALLACE,(APPLAUSE) ,0.0
169,62,WALLACE,"Mr. Trump, it has not escaped anybody's notice that you say that the Mexican government, the Mexican government is sending criminals -- rapists, drug dealers, across the border. Governor Bush has called those remarks, quote, ""extraordinarily ugly."" I'd like you -- you're right next to him -- tell us -- talk to him directly and say how you respond to that and -- and you have repeatedly said that you have evidence that the Mexican government is doing this, but you have evidence you have refused or declined to share. Why not use this first Republican presidential debate to share your proof with the American people? TRUMP: So, if it weren't for me, you wouldn't even be talking about illegal immigration, Chris. You wouldn't even be talking about it. (APPLAUSE) TRUMP: This was not a subject that was on anybody's mind until I brought it up at my announcement. And I said, Mexico is sending. Except the reporters, because they're a very dishonest lot, generally speaking, in the world of politics, they didn't cover my statement the way I said it. The fact is, since then, many killings,murders, crime, drugs pouring across the border, are money going out and the drugs coming in. And I said we need to build a wall, and it has to be built quickly.",0.09642857142857142
170,62,WALLACE,"And I don't mind having a big beautiful door in that wall so that people can come into this country legally. But we need, Jeb, to build a wall, we need to keep illegals out.",0.35000000000000003
171,62,WALLACE,(CHEERING AND APPLAUSE),0.0
172,63,WALLACE,"Mr. Trump, I'll give you 30 seconds -- I'll give you 30 seconds to answer my question, which was, what evidence do you have, specific evidence that the Mexican government is sending criminals across the border? Thirty seconds.",0.0
173,64,TRUMP,"Border Patrol, I was at the border last week. Border Patrol, people that I deal with, that I talk to, they say this is what's happening. Because our leaders are stupid. Our politicians are stupid.",0.0
174,64,TRUMP,"And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them.",0.18
175,64,TRUMP,Why should they when the stupid leaders of the United States will do it for them? And that's what is happening whether you like it or not.,-0.7999999999999999
176,64,TRUMP,(CHEERING AND APPLAUSE),0.0
177,65,WALLACE,"All right. Obviously there's a lot more to talk about this. We're going to have more questions for the candidates on illegal immigration, plus other key topics including your questions on Facebook.",-0.03125
178,65,WALLACE,(BEGIN VIDEO CLIP),0.0
179,66,UNIDENTIFIED MALE,What will be your plan on making immigration easier for those that want to do it legally?,0.2
180,67,UNIDENTIFIED MALE,What specific steps would you take to contain the growth of ISIS?,0.0
181,68,UNIDENTIFIED FEMALE,I'd like to know what the candidates are going to do so that I feel safe in my own country again.,0.55
182,68,UNIDENTIFIED FEMALE,(END VIDEO CLIP),0.0
183,68,UNIDENTIFIED FEMALE,(COMMERCIAL BREAK),0.0
184,69,WALLACE,Welcome back to FOX News/Facebook Republican Debate Night. We're going to continue the questions now on illegal immigration. We kind of ended with a cliffhanger there. So let's continue the conversation.,-0.5
185,70,WALLACE,"Governor Kasich, I know you don't like to talk about Donald Trump. But I do want to ask you about the merit of what he just said. When you say that the American government is stupid, that the Mexican government is sending criminals, that we're being bamboozled, is that an adequate response to the question of illegal immigration?",-0.1933333333333333
186,71,KASICH,"Chris, first of all, I was just saying to Chris Christie, they say we're outspoken, we need to take lessons from Donald Trump if we're really going to learn it. Here is the thing about Donald Trump. Donald Trump is hitting a nerve in this country. He is. He's hitting a nerve. People are frustrated. They're fed up. They don't think the government is working for them. And for people who want to just tune him out, they're making a mistake.",0.225
187,71,KASICH,"Now, he's got his solutions. Some of us have other solutions. You know, look, I balanced the federal budget as one of the chief architects when I was in Washington. Hasn't been done since. I was a military reformer. I took the state of Ohio from an $8 billion hole and a 350,000 job loss to a $2 billion surplus and a gain of 350,000 jobs.",0.0
188,72,WALLACE,"Respectfully, can we talk about illegal immigration?",0.0
189,73,KASICH,"But the point is that we all have solutions. Mr. Trump is touching a nerve because people want the wall to be built. They want to see an end to illegal immigration. They want to see it, and we all do. But we all have different ways of getting there. And you're going to hear from all of us tonight about what our ideas are.",0.0
190,74,WALLACE,"All right, well, Senator Rubio, let me see if I can do better with you. Is it as simple as our leaders are stupid, their leaders are smart, and all of these illegals coming over are criminals?",-0.1952380952380952
191,75,RUBIO,"Let me set the record straight on a couple of things. The first is, the evidence is now clear that the majority of people coming across the border are not from Mexico. They're coming from Guatemala, El Salvador, Honduras. Those countries are the source of the people that are now coming in its majority.",0.17500000000000002
192,75,RUBIO,"I also believe we need a fence. The problem is if El Chapo builds a tunnel under the fence, we have to be able to deal with that too. And that's why you need an e-verify system and you need an entry-exit tracking system and all sorts of other things to prevent illegal immigration. But I agree with what Governor Kasich just said. People are frustrated. This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States, and people feel like we're being taken advantage of. We feel like despite our generosity, we're being taken advantage of.",-0.3125
193,75,RUBIO,"And let me tell you who never gets talked about in these debates. The people that call my office, who have been waiting for 15 years to come to the United States. And they've paid their fees, and they hired a lawyer, and they can't get in. And they're wondering, maybe they should come illegally.",0.0
194,75,RUBIO,(APPLAUSE),0.0
195,76,RUBIO,"And so these are important issues, and we should address it. It's a serious problem that needs to be addressed, and otherwise we're going to keep talking about this for the next 30 years, like we have for the last 30 years.",-0.1111111111111111
196,77,WALLACE,Governor Walker.,0.0
197,77,WALLACE,(APPLAUSE),0.0
198,78,WALLACE,"Governor Walker, from 2002 until as recently as 2013, just two years ago, you supported comprehensive immigration reform, including a path to citizenship. Now you say that was a quick reaction to something you hadn't really thought about, and that you've changed your mind. Other than politics, could you explain why in the last two years you've changed your position on a path to citizenship, and are there other past positions that we shouldn't hold you to?",-0.125
199,79,WALKER,"Chris, I actually said that on your show earlier this year.",0.0
200,79,WALKER,(CROSSTALK),0.0
201,80,WALKER,I acknowledged that. I said I actually listened to the American people. And I think people across America want a leader who's actually going to listen to them.,0.0
202,80,WALKER,"I talked to border state governors and other elected officials. I look at how this president, particularly through last November, messed up the immigration system in this country. Most importantly, I listened to the people of America.",0.08333333333333333
203,80,WALKER,"I believe we need to secure the border. I've been to the border with Governor Abbott in Texas and others, seeing the problems that they have there. There is international criminal organizations penetrating our southern based borders, and we need to do something about it. Secure the border, enforce the law, no amnesty, and go forward with the legal immigration system that gives priority to American working families and wages.",0.20000000000000004
204,80,WALKER,(APPLAUSE) ,0.0
205,81,WALLACE,"Senator Cruz, some 1,400 people submitted questions on this very hot topic of illegal immigration on Facebook, and a number of them were about the murder of Kate Steinle in San Francisco, allegedly shot down by an illegal. Doug Bettencourt sent this question, ""will you support Kate Steinle's Law,"" which would impose a mandatory five-year prison term for an illegal who is deported and then returns to this country? ""And will you defund sanctuary cities for violating federal law?""",-0.18611111111111112
206,82,CRUZ,"Chris, absolutely yes. And not only will I support it--",0.0
207,82,CRUZ,(APPLAUSE),0.0
208,83,CRUZ,"-- I have authored Kate's law in the United States Senate and filed that legislation. I tried to get the Senate to vote to pass Kate's law on the floor of the Senate just one week ago, and the leader of our own party blocked a vote on Kate's law.",0.6
209,83,CRUZ,"You know, there was reference made to our leaders being stupid. It's not a question of stupidity. It's that they don't want to enforce the immigration laws. That there are far too many in the Washington cartel that support amnesty.",0.3
210,84,CRUZ,"President Obama has talked about fundamentally transforming this country. There's 7 billion people across the face of the globe, many of whom want to come to this country. If they come legally, great. But if they come illegally and they get amnesty, that is how we fundamentally change this country, and it really is striking.",0.0
211,84,CRUZ,"A majority of the candidates on this stage have supported amnesty. I have never supported amnesty, and I led the fight against Chuck Schumer's gang of eight amnesty legislation in the Senate.",0.0
212,85,KELLY,"Alright, gentlemen, we're gonna switch topics now and talk a bit about terror and national security.",0.0
213,85,KELLY,"Governor Christie. You've said that Senator Paul's opposition to the NSA's collection of phone records has made the United States weaker and more vulnerable, even going so far as to say that he should be called before Congress to answer for it if we should be hit by another terrorist attack.",0.03333333333333333
214,85,KELLY,Do you really believe you can assign blame to Senator Paul just for opposing he bulk collection of people's phone records in the event of a terrorist attack?,0.2
215,86,CHRISTIE,"Yes, I do. And I'll tell you why: because I'm the only person on this stage who's actually filed applications under the Patriot Act, who has gone before the federal -- the Foreign Intelligence Service court, who has prosecuted and investigated and jailed terrorists in this country after September 11th.",-0.041666666666666664
216,86,CHRISTIE,"I was appointed U.S. attorney by President Bush on September 10th, 2001, and the world changed enormously the next day, and that happened in my state.",0.0
217,86,CHRISTIE,"This is not theoretical to me. I went to the funerals. We lost friends of ours in the Trade Center that day. My own wife was two blocks from the Trade Center that day, at her office, having gone through it that morning.",0.25
218,86,CHRISTIE,"When you actually have to be responsible for doing this, you can do it, and we did it, for seven years in my office, respecting civil liberties and protecting the homeland.",0.1
