SentenceNo,SequenceNo,Speaker,Text,PolarityScore
90,28,SANDERS,"Sixty-three percent of the American people didn't vote, Anderson. Eighty percent of young people didn't vote. We are bringing out huge turnouts, and creating excitement all over this country.",0.4000000000000001
91,28,SANDERS,"Democrats at the White House on down will win, when there is excitement and a large voter turnout, and that is what this campaign is doing.",0.2146825396825397
92,29,COOPER,"You don't consider yourself a capitalist, though?",0.0
93,30,SANDERS,"Do I consider myself part of the casino capitalist process by which so few have so much and so many have so little by which Wall Street's greed and recklessness wrecked this economy? No, I don't.",0.078125
94,30,SANDERS,I believe in a society where all people do well. Not just a handful of billionaires.,0.0
95,30,SANDERS,(APPLAUSE),0.0
96,31,COOPER,Just let me just be clear. Is there anybody else on the stage who is not a capitalist?,0.0
97,32,CLINTON,"Well, let me just follow-up on that, Anderson, because when I think about capitalism, I think about all the small businesses that were started because we have the opportunity and the freedom in our country for people to do that and to make a good living for themselves and their families.",0.22499999999999998
98,32,CLINTON,"And I don't think we should confuse what we have to do every so often in America, which is save capitalism from itself. And I think what Senator Sanders is saying certainly makes sense in the terms of the inequality that we have.",0.0
99,32,CLINTON,But we are not Denmark. I love Denmark. We are the United States of America. And it's our job to rein in the excesses of capitalism so that it doesn't run amok and doesn't cause the kind of inequities we're seeing in our economic system.,0.4
100,32,CLINTON,But we would be making a grave mistake to turn our backs on what built the greatest middle class in the history...,0.5
101,33,COOPER,Senator Sanders?,0.0
102,34,CLINTON,... of the world.,0.0
103,34,CLINTON,(APPLAUSE),0.0
104,35,SANDERS,"I think everybody is in agreement that we are a great entrepreneurial nation. We have got to encourage that. Of course, we have to support small and medium-sized businesses.",0.8
105,35,SANDERS,"But you can have all of the growth that you want and it doesn't mean anything if all of the new income and wealth is going to the top 1 percent. So what we need to do is support small and medium-sized businesses, the backbone of our economy, but we have to make sure that every family in this country gets a fair shake...",0.31666666666666665
106,36,COOPER,We're going to get...,0.0
107,37,SANDERS,... not just for billionaires.,0.0
108,38,COOPER,We're going to have a lot more on these issues. But I do want to just quickly get everybody in on the question of electability.,0.3333333333333333
109,38,COOPER,"Governor Chafee, you've been everything but a socialist. When you were senator from Rhode Island, you were a Republican. When you were elected governor, you were an independent. You've only been a Democrat for little more than two years. Why should Democratic voters trust you won't change again?",0.0
110,39,CHAFEE,"Anderson, you're looking at a block of granite when it comes to the issues. Whether it's...",0.0
111,39,CHAFEE,(CROSSTALK),0.0
112,40,COOPER,"It seems like pretty soft granite. I mean, you've been a Republican, you've been an independent.",-0.15625
113,41,CHAFEE,"Did you hear what I said? On the issues. I have not changed on the issues. I was a liberal Republican, then I was an independent, and now I'm a proud Democrat. But I have not changed on the issues.",0.4
114,41,CHAFEE,"And I open my record to scrutiny. Whether it's on the environment, a woman's right to choose, gay marriage, fiscal responsibility, aversion to foreign entanglements, using the tools of government to help the less fortunate.",0.16214285714285714
115,41,CHAFEE,"Time and time again, I have never changed. You're looking at a block of granite when it comes to the issues. So I have not changed.",0.0
116,42,COOPER,Then why change labels?,0.0
117,43,CHAFEE,The party left me. There's no doubt about that. There was no room for a liberal moderate Republican in that party. I even had a primary for my reelection in 2006. I won it. But the money poured in to defeat me in Rhode Island as a Republican. That's what we were up against.,0.0
118,44,COOPER,"Governor O'Malley, the concern of voters about you is that you tout our record as Baltimore's mayor. As we all know, we all saw it. That city exploded in riots and violence in April.",0.0
119,44,COOPER,"The current top prosecutor in Baltimore, also a Democrat, blames your zero tolerance policies for sowing the seeds of unrest. Why should Americans trust you with the country when they see what's going on in the city that you ran for more than seven years?",0.5
120,45,O'MALLEY,"Yes, actually, I believe what she said was that there's a lot of policies that have led to this unrest.",0.0
121,45,O'MALLEY,"But, Anderson, when I ran for mayor of Baltimore in 1999...",0.0
122,46,COOPER,"She actually -- just for the record, when she was asked which policies, to name two, she said zero tolerance. I mean, there's a number of old policies that we're seeing the results of. That distress of communities, where communities don't want to step forward and say who killed a 3-year-old, it's a direct result of these failed policies.",-0.19999999999999998
123,47,O'MALLEY,"Well, let's talk about this a little bit. One of the things that was not reported during that heartbreaking night of unrest in Baltimore was that arrests had actually fallen to a 38-year low in the year prior to the Freddie Gray's tragic death.",-0.1875
124,47,O'MALLEY,"Anderson, when I ran for mayor of Baltimore back in 1999, it was not because our city was doing well. It was because we allowed ourselves to become the most violent, addicted, and abandoned city in America.",-0.23333333333333336
125,47,O'MALLEY,"And I ran and promised people that together we could turn that around. And we put our city on a path to reduce violent crime, or part one (ph) crime by more than any other major city in America over the next 10 years.",-0.07250000000000001
126,47,O'MALLEY,"I did not make our city immune to setbacks. But I attended a lot of funerals, including one for a family of seven who were firebombed in their sleep for picking up the phone in a poor African-American neighborhood and calling the police because of drug dealers on their corner.",-0.4
127,47,O'MALLEY,"We've saved over a thousand lives in Baltimore in the last 15 years of people working together. And the vast majority of them were young and poor and black. It wasn't easy on any day. But we saved lives and we gave our city a better future, improving police and community relations every single day that I was in office.",0.14285714285714288
128,48,COOPER,"In one year alone, though, 100,000 arrests were made in your city, a city of 640,000 people. The ACLU, the NAACP sued you, sued the city, and the city actually settled, saying a lot of those arrests were without probable cause.",0.0
129,49,O'MALLEY,"Well, I think the key word in your followup there was the word ""settle."" That's true. It was settled. Arrests peaked in 2003, Anderson, but they declined every year after that as we restored peace in our poorer neighborhoods so that people could actually walk and not have to worry about their kids or their loved ones of being victims of violent crime.",-0.03333333333333336
130,49,O'MALLEY,"Look, none of this is easy. None of us has all the answers. But together as a city, we saved a lot of lives. It was about leadership. It was about principle. And it was about bringing people together.",0.0
131,50,COOPER,"Thank you, Governor.",0.0
132,51,O'MALLEY,Thank you.,0.0
133,52,COOPER,"Senator Webb, in 2006, you called affirmative action ""state-sponsored racism."" In 2010, you wrote an op/ed saying it discriminates against whites. Given that nearly half the Democratic Party is non-white, aren't you out of step with where the Democratic Party is now?",-0.16666666666666666
134,53,WEBB,"No, actually I believe that I am where the Democratic Party traditionally has been. The Democratic Party, and the reason I've decided to run as a Democrat, has been the party that gives people who otherwise have no voice in the corridors of power a voice. And that is not determined by race.",0.0
135,53,WEBB,"And as a clarification, I have always supported affirmative action for African Americans. That's the way the program was originally designed because of their unique history in this country, with slavery and the Jim Crow laws that followed. What I have discussed a number of times is the idea that when we create diversity programs that include everyone, quote, ""of color,"" other than whites, struggling whites like the families in the Appalachian mountains, we're not being true to the Democratic Party principle of elevating the level of consciousness among our people about the hardships that a lot of people who happen to be have -- by culture, by the way.",0.11249999999999999
136,54,COOPER,"Senator Webb, thank you very much.",0.26
137,54,COOPER,"Let's move on to some of the most pressing issues facing our country right now, some of the biggest issues right now in the headlines today. We're going to start with guns. The shooting in Oregon earlier this month, once again it brought the issue of guns into the national conversation. Over the last week, guns have been the most discussed political topic on Facebook by two to one.",0.35714285714285715
138,54,COOPER,"Senator Sanders, you voted against the Brady bill that mandated background checks and a waiting period. You also supported allowing riders to bring guns in checked bags on Amtrak trains. For a decade, you said that holding gun manufacturers legally responsible for mass shootings is a bad idea. Now, you say you're reconsidering that. Which is it? shield the gun companies from lawsuits or not?",-0.24999999999999992
139,55,SANDERS,"Let's begin, Anderson, by understanding that Bernie Sanders has a D-minus voting rating (ph) from the NRA. Let's also understand that back in 1988 when I first ran for the United States Congress, way back then, I told the gun owners of the state of Vermont and I told the people of the state of Vermont, a state which has virtually no gun control, that I supported a ban on assault weapons. And over the years, I have strongly avoided instant background checks, doing away with this terrible gun show loophole. And I think we've got to move aggressively at the federal level in dealing with the straw man purchasers.",0.08333333333333333
140,55,SANDERS,"Also I believe, and I've fought for, to understand that there are thousands of people in this country today who are suicidal, who are homicidal, but can't get the healthcare that they need, the mental healthcare, because they don't have insurance or they're too poor. I believe that everybody in this country who has a mental crisis has got to get mental health counseling immediately. ",-0.25
141,56,COOPER,Do you want to shield gun companies from lawsuits?,0.0
142,57,SANDERS,"Of course not. This was a large and complicated bill. There were provisions in it that I think made sense. For example, do I think that a gun shop in the state of Vermont that sells legally a gun to somebody, and that somebody goes out and does something crazy, that that gun shop owner should be held responsible? I don't.",-0.06666666666666665
143,57,SANDERS,"On the other hand, where you have manufacturers and where you have gun shops knowingly giving guns to criminals or aiding and abetting that, of course we should take action.",-0.012499999999999997
144,58,COOPER,"Secretary Clinton, is Bernie Sanders tough enough on guns?",-0.19444444444444445
145,59,CLINTON,"No, not at all. I think that we have to look at the fact that we lose 90 people a day from gun violence. This has gone on too long and it's time the entire country stood up against the NRA. The majority of our country...",0.0
146,59,CLINTON,(APPLAUSE),0.0
147,59,CLINTON,"... supports background checks, and even the majority of gun owners do.",0.0
148,59,CLINTON,"Senator Sanders did vote five times against the Brady bill. Since it was passed, more than 2 million prohibited purchases have been prevented. He also did vote, as he said, for this immunity provision. I voted against it. I was in the Senate at the same time. It wasn't that complicated to me. It was pretty straightforward to me that he was going to give immunity to the only industry in America. Everybody else has to be accountable, but not the gun manufacturers. And we need to stand up and say Enough of that. We're not going to let it continue.",0.20833333333333334
149,59,CLINTON,(APPLAUSE),0.0
150,60,COOPER,"We're going to bring you all in on this. But, Senator Sanders, you have to give a response.",0.0
151,61,SANDERS,"As a senator from a rural state, what I can tell Secretary Clinton, that all the shouting in the world is not going to do what I would hope all of us want, and that is keep guns out of the hands of people who should not have those guns and end this horrible violence that we are seeing.",-0.5
152,61,SANDERS,"I believe that there is a consensus in this country. A consensus has said we need to strengthen and expand instant background checks, do away with this gun show loophole, that we have to address the issue of mental health, that we have to deal with the strawman purchasing issue, and that when we develop that consensus, we can finally, finally do something to address this issue.",-0.03333333333333333
153,62,COOPER,"Governor O'Malley, you passed gun legislation as governor of Maryland, but you had a Democratic-controlled legislature. President Obama couldn't convince Congress to pass gun legislation after the massacres in Aurora, in Newtown, and Charleston. How can you?",0.0
154,63,O'MALLEY,"And, Anderson, I also had to overcome a lot of opposition in the leadership of my own party to get this done. Look, it's fine to talk about all of these things -- and I'm glad we're talking about these things -- but I've actually done them.",0.3055555555555556
155,63,O'MALLEY,"We passed comprehensive gun safety legislation, not by looking at the pollings or looking at what the polls said. We actually did it. And, Anderson, here tonight in our audience are two people that make this issue very, very real. Sandy and Lonnie Phillips are here from Colorado. And their daughter, Jessie, was one of those who lost their lives in that awful mass shooting in Aurora.",0.0
156,63,O'MALLEY,"Now, to try to transform their grief, they went to court, where sometimes progress does happen when you file in court, but in this case, you want to talk about a -- a rigged game, Senator? The game was rigged. A man had sold 4,000 rounds of military ammunition to this -- this person that killed their daughter, riddled her body with five bullets, and he didn't even ask where it was going.",-0.6000000000000001
157,63,O'MALLEY,"And not only did their case get thrown out of court, they were slapped with $200,000 in court fees because of the way that the NRA gets its way in our Congress and we take a backseat. It's time to stand up and pass comprehensive gun safety legislation as a nation.",0.0
158,63,O'MALLEY,(APPLAUSE),0.0
159,64,COOPER,"Senator Sanders, I want you to be able to respond, 30 seconds.",0.5
160,65,SANDERS,"I think the governor gave a very good example about the weaknesses in that law and I think we have to take another look at it. But here is the point, Governor. We can raise our voices, but I come from a rural state, and the views on gun control in rural states are different than in urban states, whether we like it or not.",0.0
161,65,SANDERS,"Our job is to bring people together around strong, commonsense gun legislation. I think there is a vast majority in this country who want to do the right thing, and I intend to lead the country in bringing our people together.",0.14285714285714285
162,66,O'MALLEY,"Senator -- Senator, excuse me.",-0.05
163,66,O'MALLEY,(CROSSTALK),0.0
164,67,O'MALLEY,"Senator, it is not about rural -- Senator, it was not about rural and urban.",0.0
165,68,SANDERS,It's exactly about rural.,0.125
166,69,O'MALLEY,Have you ever been to the Eastern Shore? Have you ever been to Western Maryland? We were able to pass this and still respect the hunting traditions of people who live in our rural areas.,0.21212121212121213
167,70,SANDERS,Governor...,0.0
168,71,O'MALLEY,"And we did it by leading with principle, not by pandering to the NRA and backing down to the NRA.",-0.15555555555555559
169,72,SANDERS,"Well, as somebody who has a D-minus voting record...",0.0
170,72,SANDERS,(CROSSTALK),0.0
171,73,O'MALLEY,"And I have an F from the NRA, Senator.",0.0
172,74,SANDERS,I don't think I am pandering. But you have not been in the United States Congress.,0.0
173,75,O'MALLEY,"Well, maybe that's a healthy thing.",0.5
174,75,O'MALLEY,(LAUGHTER),0.0
175,76,SANDERS,"And when you want to, check it out. And if you think -- if you think that we can simply go forward and pass something tomorrow without bringing people together, you are sorely mistaken.",0.0
176,77,COOPER,"Let me bring in somebody who has a different viewpoint. Senator Webb, your rating from the NRA, you once had an A rating from the NRA. You've said gun violence goes down when more people are allowed to carry guns. Would encouraging more people to be armed be part of your response to a mass shooting?",0.5
177,78,WEBB,"Look, there are two fundamental issues that are involved in this discussion. We need to pay respect to both of them. The first is the issue of who should be kept from having guns and using firearms. And we have done not a good job on that.",0.25
178,78,WEBB,"A lot of them are criminals. And a lot of the people are getting killed are members of gangs inside our urban areas. And a lot of them are mentally incapacitated. And the shooting in Virginia Tech in '07, this individual had received medical care for mental illness from three different professionals who were not allowed to share the information.",-0.025
179,79,WEBB,So we do need background checks. We need to keep the people who should not have guns away from them. But we have to respect the tradition in this country of people who want to defend themselves and their family from violence.,0.0
180,80,COOPER,Senator...,0.0
181,81,WEBB,"May I? People are going back and forth here for 10 minutes here. There are people at high levels in this government who have bodyguards 24 hours a day, seven days a week. The average American does not have that, and deserves the right to be able to protect their family.",0.16
182,82,COOPER,"Senator -- Governor Chafee, you have an F rating from the NRA, what do you think about what Senator Webb just said?",0.0
183,83,CHAFEE,"Yes, I have a good record of voting for gun commonsense safety legislation, but the reality is, despite these tragedies that happen time and time again, when legislators step up to pass commonsense gun safety legislation, the gun lobby moves in and tells the people they're coming to take away your guns.",0.7
184,83,CHAFEE,"And, they're successful at it, in Colorado and others states, the legislators that vote for commonsense gun safety measures then get defeated. I even saw in Rhode Island. So, I would bring the gun lobby in and say we've got to change this. Where can we find common ground? Wayne Lapierre from the NRA, whoever it is, the leaders. Come one, we've go to change this. We're not coming to take away your guns, we believe in the Second Amendment, but let's find common ground here.",0.75
185,84,COOPER,I want to...,0.0
186,85,O'MALLEY,"...Anderson, when the NRA wrote to everyone in our state -- when the NRA wrote to members in our state and told people with hunting traditions lies about what our comprehensive gun safety legislation is, I wrote right back to them and laid out what it actually did. And that's why, not only did we pass it, but the NRA didn't...",0.09523809523809523
187,86,SANDERS,...Excuse me...,0.0
188,87,O'MALLEY,...dare to petition a referendum...,0.0
189,88,SANDERS,...I want to make...,0.0
190,89,O'MALLEY,"...Because we built a public consensus... COOPER: ...I want to move on to another issue, which is in the headlines right now, another crisis making headlines.",0.14285714285714285
191,89,O'MALLEY,"Secretary Clinton, Russia, they're challenging the U.S. in Syria. According to U.S. intelligence, they've lied about who they're bombing. You spearheaded the reset with Russia. Did you underestimate the Russians, and as president, what would your response to Vladimir Putin be right now in Syria?",0.2857142857142857
192,90,CLINTON,"Well, first of all, we got a lot of business done with the Russians when Medvedev was the president, and not Putin. We got a nuclear arms deal, we got the Iranian sanctions, we got an ability to bring important material and equipment to our soldiers in Afghanistan.",0.4
